K,MSE,ITERATIONS,EXECUTION TIME
2,67078.47090249952,100,59.68479871749878
3,67065.67022900764,100,59.787670850753784
4,67051.870127887,100,59.73316931724548
5,67039.06945399007,100,59.68455171585083
6,67025.27164407104,100,59.818493366241455
7,67012.47097020627,100,59.79139232635498
8,66999.67029608405,100,59.69221520423889
9,66986.86962170425,100,59.50959277153015
10,66974.0689470667,100,59.60350251197815
11,66961.26827217126,100,59.45208668708801
12,66948.46759701778,100,59.63447618484497
13,66935.66692160611,100,59.728588819503784
14,66922.86586345383,100,60.7448046207428
15,66909.06499617445,100,60.320154666900635
16,66896.26431987755,100,60.668184757232666
17,66883.46364332185,100,60.18396496772766
18,66870.66296650717,100,60.386542320251465
19,66857.8622894334,100,60.380728006362915
20,66845.06161210031,100,60.40900111198425
21,66832.26093450785,100,60.52598571777344
22,66818.46657728405,100,60.050124168395996
23,66804.66992337166,100,60.23484921455383
24,66791.86924698218,100,60.32679009437561
25,66779.06857033346,100,61.392427921295166
26,66766.26789342533,100,60.7510929107666
27,66753.46721625768,100,61.31192421913147
28,66740.6665388303,100,60.929229497909546
29,66727.86586114307,100,60.58030438423157
30,66715.06518319587,100,60.386677980422974
31,66702.26450498849,100,59.57534313201904
32,66689.46382652083,100,60.65759873390198
33,66676.66314779271,100,61.12450408935547
34,66663.862468804,100,60.5196852684021
35,66651.06178955454,100,60.285162925720215
36,66638.26111004417,100,60.37964844703674
37,66625.46043027277,100,60.79883813858032
38,66612.65975024016,100,60.910319328308105
39,66599.8590699462,100,60.24315905570984
40,66587.05838939073,100,60.56005907058716
41,66574.25770857363,100,60.38019061088562
42,66561.45702749473,100,60.708081007003784
43,66548.65634615385,100,60.389981746673584
44,66535.85566455088,100,60.407246112823486
45,66523.05498268566,100,60.24982810020447
46,66510.2539157206,100,60.38399624824524
47,66496.45650500385,100,60.42853498458862
48,66483.65582290664,100,60.64855480194092
49,66470.85514054679,100,60.87385439872742
50,66458.0540727903,100,60.45942997932434
