K,MSE,ITERATIONS,EXECUTION TIME
2,8385.357575757576,119,162.69495630264282
3,8382.757575757576,130,182.67594981193542
4,8380.157575757576,128,180.35968923568726
5,8377.557575757575,123,184.27172946929932
6,8374.957575757575,122,183.7808563709259
7,8372.357575757576,125,184.61132049560547
8,8369.757575757576,122,182.5317952632904
9,8367.157575757577,120,180.343745470047
10,8364.557575757575,119,181.9424889087677
11,8361.957575757577,120,187.2762348651886
12,8359.357575757575,124,189.80191445350647
13,8356.757575757576,129,192.20835828781128
14,8354.157575757576,119,183.95025753974915
15,8351.557575757575,117,182.21808338165283
16,8348.957575757577,117,181.3649206161499
17,8346.357575757575,127,187.6804702281952
18,8343.757575757576,123,183.58348321914673
19,8341.157575757577,117,178.8351218700409
20,8338.557575757575,121,182.73020195960999
21,8335.957575757575,121,182.9520890712738
22,8333.357575757576,119,180.55166244506836
23,8330.757575757576,115,177.0070869922638
24,8328.157575757574,123,183.17054343223572
25,8325.557575757575,125,183.71662259101868
26,8322.957575757575,123,181.12338852882385
27,8320.357575757576,134,185.9232280254364
28,8317.757575757576,122,174.3699119091034
29,8315.157575757576,119,172.23589396476746
30,8312.557575757575,126,178.40947914123535
31,8309.957575757575,119,174.59609842300415
32,8307.357575757575,120,175.23443961143494
33,8304.757575757576,120,174.15671515464783
34,8302.157575757576,114,170.51363968849182
35,8299.557575757575,127,182.70516443252563
36,8296.957575757577,127,181.90800428390503
37,8294.357575757576,123,177.82060933113098
38,8291.757575757576,120,175.7214593887329
39,8289.157575757574,116,172.44168519973755
40,8286.557575757575,124,179.92328071594238
41,8283.957575757575,123,178.6807930469513
42,8281.357575757576,117,173.75074863433838
43,8278.757575757576,122,177.02355432510376
44,8276.157575757576,116,171.85561513900757
45,8273.557575757575,123,177.84806847572327
46,8270.957575757577,117,172.8523564338684
47,8268.357575757576,121,174.55902910232544
48,8265.757575757576,118,173.75199270248413
49,8263.157575757576,126,179.15618014335632
50,8260.557575757575,118,172.92193841934204
