K,MSE,ITERATIONS,EXECUTION TIME
2,8385.357575757576,125,110.01140904426575
3,8382.757575757576,126,112.4032940864563
4,8380.157575757577,115,106.39974999427795
5,8377.557575757575,124,110.70013332366943
6,8374.957575757577,124,110.46676540374756
7,8372.357575757575,120,108.5666491985321
8,8369.757575757576,120,108.51845049858093
9,8367.157575757576,121,109.21652269363403
10,8364.557575757575,124,110.8208999633789
11,8361.957575757577,121,108.58103609085083
12,8359.357575757576,119,107.68048620223999
13,8356.757575757576,120,109.47851991653442
14,8354.157575757576,130,114.2890317440033
15,8351.557575757575,121,108.33249878883362
16,8348.957575757577,121,108.20858860015869
17,8346.357575757575,124,109.78993892669678
18,8343.757575757576,124,109.3684754371643
19,8341.157575757576,123,108.86660170555115
20,8338.557575757577,124,109.4165472984314
21,8335.957575757577,133,113.86986899375916
22,8333.357575757576,120,106.58461403846741
23,8330.757575757576,117,104.29499387741089
24,8328.157575757576,121,106.59830951690674
25,8325.557575757575,123,107.18690848350525
26,8322.957575757575,121,106.46778750419617
27,8320.357575757576,114,102.70282888412476
28,8317.757575757576,119,104.4278666973114
29,8315.157575757576,128,107.21118950843811
30,8312.557575757575,120,103.72984981536865
31,8309.957575757577,120,102.90947771072388
32,8307.357575757576,125,105.46119832992554
33,8304.757575757576,122,103.46747207641602
34,8302.157575757574,121,103.09563255310059
35,8299.557575757575,117,101.242595911026
36,8296.957575757575,127,105.90301251411438
37,8294.357575757575,122,105.60249876976013
38,8291.757575757576,118,103.58985185623169
39,8289.157575757576,122,105.52786183357239
40,8286.557575757575,116,102.46611022949219
41,8283.957575757575,123,105.20215678215027
42,8281.357575757576,123,105.10548496246338
43,8278.757575757576,124,106.44379687309265
44,8276.157575757574,117,104.54934644699097
45,8273.557575757575,117,104.2024438381195
46,8270.957575757577,123,105.55198502540588
47,8268.357575757575,117,101.27955627441406
48,8265.757575757576,120,104.86304211616516
49,8263.157575757576,116,101.44734120368958
50,8260.557575757575,120,103.76607012748718
