K,MSE,ITERATIONS,EXECUTION TIME
2,67044.66602650277,100,124.14281368255615
3,67027.88050749712,100,152.08601355552673
4,67003.42766264599,102,180.65923380851746
5,66969.54948576815,105,209.77481031417847
6,66973.72067103293,112,237.74853348731995
7,66947.03349907065,106,263.30900025367737
8,66902.88186327483,109,289.8137743473053
9,66900.77353629978,106,312.7159037590027
10,66891.66245807473,109,339.1444263458252
11,66864.96544578447,108,373.3382568359375
12,66867.51445870817,108,400.2664020061493
13,66790.84090449328,112,433.3395893573761
14,66813.78797310774,115,458.4843602180481
15,66788.29446391761,112,483.07748532295227
16,66788.12467862168,119,493.31800532341003
17,66780.80633680701,116,507.17851161956787
18,66726.42752647771,123,541.31658411026
19,66735.22154619385,128,575.6111800670624
20,66714.32459346553,119,591.027370929718
21,66688.509163618,122,617.3252909183502
22,66650.44168132919,122,639.6143283843994
23,66651.11375959974,143,1341.6361701488495
24,66650.39749348123,136,1410.8196127414703
25,66612.86535211548,135,1468.0056645870209
26,66607.04215303969,142,1493.6114535331726
27,66594.0400918535,135,1562.4933710098267
28,66554.17676368539,145,1582.0404152870178
29,66537.61974951817,141,1226.3492405414581
30,66537.36641508853,135,795.2752718925476
31,66522.98198868457,152,818.3354160785675
32,66506.33537475578,153,828.139009475708
33,66445.00787160386,139,844.7809646129608
34,66466.84419502443,137,873.570234298706
35,66461.43155284924,166,902.873122215271
36,66428.27156285732,154,922.5295186042786
37,66401.76860535689,149,947.350147485733
38,66398.32000890179,160,967.1954996585846
39,66357.87155736604,172,1018.1391496658325
40,66361.05096799726,152,1026.531608581543
41,66337.53122857801,168,1052.8031787872314
42,66328.55002589713,152,1070.6593554019928
43,66306.63503670535,155,1093.6971199512482
44,66295.25791932094,175,1126.0357191562653
45,66311.53508254339,160,1146.1606452465057
46,66261.52401621142,160,1183.2271664142609
47,66261.3559801605,169,1189.8328125476837
48,66256.85798751564,153,1520.9953105449677
49,66201.86865114802,163,1245.272114276886
50,66191.75920622873,161,1257.8371715545654
