K,MSE,ITERATIONS,EXECUTION TIME
2,8385.357575757575,102,156.30658149719238
3,8382.757575757576,104,183.7300910949707
4,8380.157575757577,103,209.71076321601868
5,8378.05764481358,102,236.02858304977417
6,8376.457713860047,105,270.21219420433044
7,8374.557679338006,106,298.58394145965576
8,8371.715693153723,103,325.87375807762146
9,8369.157782968517,105,353.77675676345825
10,8366.700674721693,102,379.77367639541626
11,8364.707990465897,109,408.12367272377014
12,8363.457886627666,104,428.2080762386322
13,8362.158094125065,106,427.62568497657776
14,8359.794526714722,104,469.23566126823425
15,8357.09415590413,103,486.76951479911804
16,8354.24149702105,107,528.145548582077
17,8355.40364164442,101,536.8328988552094
18,8352.820760486271,102,567.0032951831818
19,8351.320522848233,106,590.2346694469452
20,8349.02789840959,106,1252.684514284134
21,8346.71598116117,104,1319.9703035354614
22,8345.691669284413,109,1383.8684241771698
23,8343.235386537304,111,1408.2276072502136
24,8340.4923637875,106,1485.1473824977875
25,8339.211859192146,103,1496.975089788437
26,8337.691981718155,109,1362.477787733078
27,8335.439544903635,109,843.8982100486755
28,8333.75947867423,105,769.1818101406097
29,8330.982895970466,109,782.8964326381683
30,8330.381669470753,110,800.1783657073975
31,8329.29205068291,107,822.802916765213
32,8328.3116520357,107,852.4879486560822
33,8325.213713458572,104,871.4481208324432
34,8322.231287908176,106,896.8075730800629
35,8318.115147120421,106,918.1444811820984
36,8319.903580156264,108,943.2422754764557
37,8317.253768502997,115,989.9343740940094
38,8314.074012880523,109,998.7219278812408
39,8314.897637270744,104,1021.3858530521393
40,8311.761659439677,105,1045.742060661316
41,8312.174111774788,111,1067.635372877121
42,8303.419067467827,115,1094.3746347427368
43,8307.586088188367,107,1117.975502729416
44,8303.826180945427,110,1155.010590314865
45,8304.202683982683,104,1156.384970664978
46,8301.058509449746,104,1495.7436738014221
47,8299.415277755921,113,1215.8320376873016
48,8295.455802765226,110,1232.394721031189
49,8296.222740107525,112,1240.2712461948395
50,8295.309535148244,108,1260.3915684223175
