K,MSE,ITERATIONS,EXECUTION TIME
2,67041.26600374849,101,57.2022545337677
3,67017.69212081458,104,58.288259744644165
4,66994.90696659393,103,58.175012826919556
5,66976.94876523776,105,58.99370551109314
6,66960.48448821733,109,61.71966218948364
7,66932.58693438684,113,66.61865496635437
8,66915.612029999,117,68.97517323493958
9,66912.36900754433,111,67.03349184989929
10,66882.44936084643,113,67.76684904098511
11,66857.50299493529,118,69.98848128318787
12,66862.85142721381,119,70.1560447216034
13,66829.45861952222,122,71.04326105117798
14,66815.85883975145,126,72.78334045410156
15,66772.98335410254,126,72.71580529212952
16,66745.67752267272,130,74.13459539413452
17,66770.26635105532,129,73.91683745384216
18,66721.71907320079,121,71.59919571876526
19,66726.0897077815,131,74.91712713241577
20,66670.08918480993,137,77.34352135658264
21,66699.55612595066,147,80.39845180511475
22,66632.97334581404,127,74.40799283981323
23,66665.7003278123,137,77.58382534980774
24,66623.26128041945,132,75.99477243423462
25,66638.03088584059,133,76.50553035736084
26,66606.90332612582,127,74.89244771003723
27,66589.15213803173,143,80.00106406211853
28,66564.74673517326,162,86.11876606941223
29,66567.87851320954,147,81.25446891784668
30,66537.20969147536,131,76.52012062072754
31,66516.71842526775,154,84.31961464881897
32,66496.23261446366,148,82.36093544960022
33,66492.06443244431,137,78.6268846988678
34,66482.88488956468,148,82.9930145740509
35,66451.20555650585,148,82.58787822723389
36,66429.5441462402,143,81.25002241134644
37,66430.12427196495,152,84.11633706092834
38,66409.57328809501,170,89.55016231536865
39,66361.17590380821,147,82.84893369674683
40,66378.77347276252,165,88.05446648597717
41,66373.614724654,156,86.03290677070618
42,66336.39362938213,157,86.41683912277222
43,66307.44598274479,171,90.6331250667572
44,66291.00651005153,172,90.76681065559387
45,66285.70944676427,161,88.1665346622467
46,66266.09061242278,169,90.43355798721313
47,66255.01840910634,164,89.94730973243713
48,66236.06400351491,169,91.81144714355469
49,66237.45456927284,158,87.12340235710144
50,66215.61551304316,167,89.86465954780579
