K,MSE,ITERATIONS,EXECUTION TIME
2,8385.357575757575,111,88.62521600723267
3,8382.757575757576,104,88.66210222244263
4,8380.157575757577,106,90.06756949424744
5,8377.757610277235,107,90.88475441932678
6,8375.62438054579,106,98.22849202156067
7,8375.02462224538,109,102.81246566772461
8,8371.881343317324,104,100.82491207122803
9,8371.417859040555,108,102.8815770149231
10,8368.59648648577,108,103.05012083053589
11,8367.29153115339,112,105.28234148025513
12,8364.090388419925,105,102.05862379074097
13,8362.76786350552,103,100.94049882888794
14,8361.674354921986,107,103.03356599807739
15,8358.187110065846,111,105.65217351913452
16,8357.664154781593,110,105.12207078933716
17,8356.777467446034,110,105.01233696937561
18,8354.339404402268,111,105.99565362930298
19,8348.235469981517,109,104.51656150817871
20,8352.430376656235,112,106.00754141807556
21,8347.215395507576,105,102.46945428848267
22,8346.849497842888,115,107.82771039009094
23,8346.605168015874,107,103.78337597846985
24,8343.493297543262,108,103.95656561851501
25,8342.390359217854,109,107.5812771320343
26,8340.418576129923,107,107.94946193695068
27,8336.615551079156,113,110.04957127571106
28,8335.13649507393,109,108.61673402786255
29,8334.040293697228,110,109.13339519500732
30,8333.140160779167,112,110.08327031135559
31,8330.681666125485,109,109.0667998790741
32,8330.372493923936,114,111.75005722045898
33,8327.74379668273,111,110.43325638771057
34,8324.532794354667,110,109.86562490463257
35,8323.226467095257,106,108.38362050056458
36,8322.55212181501,109,111.57933044433594
37,8321.38188278392,114,113.0835587978363
38,8319.586367859272,116,112.82674598693848
39,8317.828647099443,111,110.9955472946167
40,8315.32488432449,109,110.27760529518127
41,8314.466810682881,115,113.18305921554565
42,8312.376685683157,109,110.17455792427063
43,8310.309960007095,107,109.69423365592957
44,8307.757676652398,108,109.6831567287445
45,8306.785540022276,116,113.33672404289246
46,8304.006854369021,113,111.45386290550232
47,8303.073655449494,111,110.76179122924805
48,8300.652625249993,109,109.97936677932739
49,8300.370357746131,107,109.14864325523376
50,8297.911696132953,113,111.9035074710846
