K,MSE,ITERATIONS,EXECUTION TIME
2,64.87880032990813,6881,9.182628631591797
3,56.40078062627043,9471,7.2424657344818115
4,50.91045822652879,10839,5.972542762756348
5,47.197262436803086,8330,4.741549968719482
6,44.480119276371866,7894,4.601776361465454
7,42.12641235711322,7527,4.431273937225342
8,40.38589599697446,6441,3.886317729949951
9,39.03511702219738,5505,3.491375207901001
10,37.84050109820205,5240,3.416210412979126
11,36.710922371900196,5478,3.6594364643096924
12,35.68458349773972,5267,3.6393678188323975
13,34.81177311417189,4789,3.4349517822265625
14,33.9658506523238,4628,3.4420042037963867
15,33.18350770239047,4500,3.3719632625579834
16,32.430985438455195,4537,3.407449960708618
17,31.719963221373863,4024,3.1530048847198486
18,31.087826788060866,3789,3.084073066711426
19,30.550104148144534,3619,3.0472257137298584
20,29.998678987174827,3478,2.960937738418579
21,29.492006197228786,3406,2.9747540950775146
22,28.990537049545694,3191,2.87520170211792
23,28.53967887278972,3062,2.826188087463379
24,28.11784740225572,3001,2.823958396911621
25,27.700992526208584,2671,2.598578929901123
26,27.339927543754275,2620,2.6578118801116943
27,27.007486564058482,2550,2.6103556156158447
28,26.68478369684052,2394,2.51665997505188
29,26.377916630613484,2167,2.3334908485412598
30,26.077080697022964,1996,2.2167465686798096
31,25.785012830360195,1994,2.2874622344970703
32,25.499305087772306,2101,2.3941943645477295
33,25.2158158992327,2099,2.4342331886291504
34,24.927044396751107,2034,2.4165380001068115
35,24.647249574132125,2027,2.469364881515503
36,24.368001532884165,1974,2.4640085697174072
37,24.099658792169826,1916,2.443511962890625
38,23.8375416671536,1871,2.456427812576294
39,23.584609351614148,1738,2.333385944366455
40,23.34497002888451,1673,2.2932229042053223
41,23.118425504725973,1668,2.331454038619995
42,22.895936865288924,1647,2.325488805770874
43,22.675944612640222,1657,2.3746249675750732
44,22.456587740683332,1638,2.3816680908203125
45,22.239014820223588,1614,2.379913330078125
46,22.0159331684091,1579,2.372727394104004
47,21.814827340596167,1563,2.3909108638763428
48,21.615988281674603,1486,2.33605694770813
49,21.419811893811268,1438,2.2991065979003906
50,21.226647997145097,1408,2.289780378341675
