K,MSE,ITERATIONS,EXECUTION TIME
2,64.87880032990813,1237,1.6476054191589355
3,56.40078062627043,1600,1.316213846206665
4,50.91045822652879,1808,0.9912929534912109
5,47.19886588991393,1461,0.8168668746948242
6,44.480119276371866,1200,0.6752872467041016
7,42.15550668216824,1167,0.6848790645599365
8,40.41338923775693,1113,0.6840953826904297
9,39.04686081571373,957,0.606670618057251
10,37.831745174968276,824,0.5600063800811768
11,36.71652882218991,794,0.5457842350006104
12,35.70463793823358,698,0.5045897960662842
13,34.81143749205413,632,0.46832704544067383
14,33.962246137857484,644,0.5043227672576904
15,33.20207008638885,653,0.5089609622955322
16,32.457835912691884,602,0.48316049575805664
17,31.78212924925222,504,0.41759514808654785
18,31.14421089657538,571,0.47443366050720215
19,30.539798447738157,495,0.43733668327331543
20,29.96823246323367,522,0.4379689693450928
21,29.464876219970435,392,0.3680605888366699
22,29.018669486447717,436,0.40784239768981934
23,28.543075653937255,426,0.4073801040649414
24,28.155016949977536,345,0.3505434989929199
25,27.780496262962046,356,0.365339994430542
26,27.39270181501852,307,0.3409905433654785
27,27.03119136935765,349,0.3759467601776123
28,26.689055688786848,307,0.35055971145629883
29,26.361251230417892,288,0.3324735164642334
30,26.045044261728894,271,0.33519649505615234
31,25.744208328138377,233,0.2981545925140381
32,25.458300245094456,237,0.3000357151031494
33,25.158534844860206,250,0.3336794376373291
34,24.871672187273795,242,0.32559800148010254
35,24.618545181713728,245,0.332141637802124
36,24.330296720173436,249,0.34139084815979004
37,24.069091990331692,249,0.3437526226043701
38,23.824533711987854,228,0.32387804985046387
39,23.58022292333528,226,0.3341405391693115
40,23.326793424762013,235,0.34012722969055176
41,23.087154102032372,209,0.3253004550933838
42,22.8629475358374,192,0.3146688938140869
43,22.642516161016175,226,0.3522043228149414
44,22.445716449942754,211,0.33310604095458984
45,22.24795513959923,217,0.35120368003845215
46,22.051829452361623,233,0.3665926456451416
47,21.870400760565797,219,0.3570425510406494
48,21.6998455917155,211,0.36328768730163574
49,21.532356544985056,183,0.3286106586456299
50,21.363833701139455,198,0.34975266456604004
