K,MSE,ITERATIONS,EXECUTION TIME
2,64.8797709763453,1218,1.669393539428711
3,56.40078062627043,1646,1.3652088642120361
4,50.91045822652879,1813,1.0342013835906982
5,47.20043984104804,1476,0.8564655780792236
6,44.481472656975306,1225,0.7413852214813232
7,42.12735240298143,1151,0.7106490135192871
8,40.39924793649881,1082,0.6907861232757568
9,39.02060541460982,852,0.5760362148284912
10,37.84183420390607,805,0.5679049491882324
11,36.81832618975196,875,0.6157019138336182
12,35.74061420460946,774,0.6014049053192139
13,34.8363788801046,680,0.5323426723480225
14,33.9783571646812,740,0.5912139415740967
15,33.18765725576903,649,0.5333657264709473
16,32.44611347459618,559,0.48312878608703613
17,31.74508511203933,574,0.5002627372741699
18,31.12008741532162,460,0.4417257308959961
19,30.527374981492976,509,0.470625638961792
20,29.99360724427271,449,0.4343106746673584
21,29.480968573183603,472,0.46678638458251953
22,28.990585687210974,436,0.4501025676727295
23,28.52229524115402,356,0.391068696975708
24,28.093465577249532,316,0.3687777519226074
25,27.735539899877434,324,0.37343811988830566
26,27.425901873387474,297,0.36808204650878906
27,27.107553829581093,294,0.36521172523498535
28,26.789373489113743,283,0.3578829765319824
29,26.46401746256704,264,0.3501546382904053
30,26.143368060032913,273,0.366959810256958
31,25.8425321264424,266,0.3583557605743408
32,25.5420548380342,257,0.36208581924438477
33,25.256347095446316,240,0.34784626960754395
34,24.97142719200331,292,0.3982410430908203
35,24.70051618825589,251,0.3662889003753662
36,24.430870128087147,236,0.35887813568115234
37,24.167835468037577,237,0.3664438724517822
38,23.905779971453143,235,0.3668942451477051
39,23.644675687294395,257,0.3998720645904541
40,23.387968684454123,207,0.35010409355163574
41,23.148329361724482,251,0.4093618392944336
42,22.930729050574445,241,0.3920767307281494
43,22.719183858486517,197,0.3536093235015869
44,22.49245499324235,205,0.36205363273620605
45,22.28694576763265,223,0.3884007930755615
46,22.09231921818181,201,0.3634054660797119
47,21.906522335375357,196,0.3644101619720459
48,21.69248367492177,179,0.34986090660095215
49,21.51165758059267,190,0.3680126667022705
50,21.305335489522395,192,0.3799102306365967
