K,MSE,ITERATIONS,EXECUTION TIME
2,64.87880032990813,1020,1.3275585174560547
3,56.40078062627043,1562,1.1122252941131592
4,50.91035642203159,1795,0.9867987632751465
5,47.19914554609487,1947,1.0886211395263672
6,44.485475786339485,2009,1.252793788909912
7,42.13485967402901,2106,1.3826117515563965
8,40.4134765484663,2047,1.426908254623413
9,39.02320458234037,2028,1.308943510055542
10,37.82747288618957,2024,1.3063507080078125
11,36.82464806209144,1935,1.3671588897705078
12,35.90464716361615,1922,1.3643629550933838
13,35.099811453474096,1783,1.3068828582763672
14,34.285101873949,1901,1.4203476905822754
15,33.52708786073073,1866,1.3072810173034668
16,32.650478039808384,1792,1.5261704921722412
17,32.13399826198441,1880,1.6031324863433838
18,31.585143479061202,1916,1.670170783996582
19,31.122909843677302,1728,1.5514073371887207
20,30.52502670644712,1760,1.6277236938476562
21,29.87461753667905,1828,1.715101957321167
22,29.556412557232964,1703,1.4382646083831787
23,29.120180233050057,1826,1.556086540222168
24,28.942397251653972,1742,1.5269505977630615
25,28.47185353669178,1732,1.522582769393921
26,28.250991740951534,1679,1.4730753898620605
27,27.559149073672895,1743,1.5035550594329834
28,27.370822952546693,1701,1.4810760021209717
29,27.129223490041806,1729,1.604689359664917
30,26.956028086859366,1741,1.5887525081634521
31,26.755029580401008,1636,1.4946017265319824
32,26.33673778378967,1715,1.576474666595459
33,26.0764482727619,1660,1.563870906829834
34,25.732336618652702,1645,1.5635638236999512
35,25.70969084821239,1570,1.5238187313079834
36,25.42374491746052,1619,1.5937936305999756
37,24.958041206553084,1620,1.6294808387756348
38,24.84856866550134,1576,1.5956227779388428
39,24.913150988207462,1531,1.5778579711914062
40,24.591379940624222,1505,1.5469403266906738
41,24.383764339216093,1442,1.5271291732788086
42,24.345084739065477,1526,1.6485750675201416
43,24.070841869609197,1441,1.6118271350860596
44,23.831348118604144,1441,1.5937049388885498
45,23.570555555612735,1453,1.6280133724212646
46,23.63848727018388,1444,1.7033069133758545
47,23.358912010772194,1395,1.6746692657470703
48,23.24809565299102,1412,1.6923472881317139
49,23.085870523536574,1458,1.781390905380249
50,23.01337603582878,1389,1.7147431373596191
