K,MSE,ITERATIONS,EXECUTION TIME
2,64.87880032990813,1012,2.1421682834625244
3,56.40078062627043,1491,2.2449772357940674
4,50.910974908998725,1588,2.3132190704345703
5,47.19914554609487,1808,2.9648778438568115
6,44.48398327248249,1840,3.317807197570801
7,42.130933926238434,2038,3.6919634342193604
8,40.3940512817946,1962,3.541639804840088
9,39.026573466964905,1883,3.693552255630493
10,38.03531388772414,1890,3.9132964611053467
11,36.88235321884936,1749,4.110267400741577
12,35.843019571720006,1637,4.346385955810547
13,35.04053663538838,1599,4.560986518859863
14,34.112051106100054,1714,4.899132490158081
15,33.382820595734,1608,5.0846216678619385
16,32.80899569033364,1570,5.505056619644165
17,31.935575649282576,1572,5.595494508743286
18,31.596390544603462,1477,5.797624588012695
19,30.869983292261985,1531,6.1558990478515625
20,30.44514210857952,1534,6.374960422515869
21,29.868890154793704,1515,6.988736391067505
22,29.410087968257486,1642,7.2822558879852295
23,29.029400064171426,1443,7.875022888183594
24,28.846496815792293,1454,8.00119423866272
25,28.55677886791696,1458,8.760025978088379
26,28.062533030020994,1438,9.210198163986206
27,27.882496393684008,1353,9.818476915359497
28,27.359377044508506,1376,9.662782192230225
29,27.094590441677056,1262,9.684249877929688
30,26.708628014493556,1323,9.456706047058105
31,26.581850018341022,1258,9.860460996627808
32,26.22486852047767,1339,10.278026342391968
33,25.900630104398566,1276,10.901710033416748
34,25.773358979030515,1280,10.830334186553955
35,25.29712704981327,1234,11.391534805297852
36,25.391960376354717,1208,13.166709661483765
37,24.578045496043543,1197,13.798473358154297
38,24.76866447273203,1229,11.884832620620728
39,24.43372626883448,1217,12.007797479629517
40,24.281506956204638,1149,12.285810708999634
41,24.141126715310826,1097,12.893039464950562
42,23.67534363807492,1126,14.386091232299805
43,23.76180311527952,1102,13.188525676727295
44,23.530339803490158,1077,13.779662609100342
45,23.225934534943843,1074,14.505722522735596
46,23.05211961182431,1036,16.583559036254883
47,22.826525500419265,1034,18.603270769119263
48,22.719414301334183,1040,17.02995228767395
49,22.555705698332687,1052,17.555026054382324
50,22.142765125180873,1073,18.039430618286133
