K,MSE,ITERATIONS,EXECUTION TIME
2,64.87880032990813,980,1.362276554107666
3,56.40078062627043,1521,1.2266170978546143
4,50.91045822652879,1661,1.0682101249694824
5,47.19886588991393,1835,1.1599318981170654
6,44.499468552679396,1851,1.2366845607757568
7,42.12825466553902,2114,1.3897299766540527
8,40.3673535611851,2073,1.4138922691345215
9,39.089340299487,1966,1.4148545265197754
10,37.86843509796682,1891,1.705373764038086
11,36.82128696026771,1761,1.7043936252593994
12,35.8279352283278,1820,1.8560843467712402
13,34.98615697834717,1805,1.579557180404663
14,34.30150856153312,1735,1.6605358123779297
15,33.56629295781392,1818,1.6438870429992676
16,32.79624288239792,1706,1.541090965270996
17,32.069905613558845,1647,1.5555133819580078
18,31.60891935668277,1609,1.6418659687042236
19,31.00727465582378,1653,1.644998550415039
20,30.71066518474298,1572,1.67368483543396
21,30.022363611215958,1576,1.678424596786499
22,29.576173944214823,1470,1.6274380683898926
23,29.18143742640058,1517,1.6985363960266113
24,28.810210702385703,1470,1.7638485431671143
25,28.522426062398715,1562,1.8290998935699463
26,28.034470439587786,1422,1.7097599506378174
27,27.435632789288313,1388,1.7766401767730713
28,27.38937403315453,1400,1.8086028099060059
29,27.121224868818363,1325,1.7265617847442627
30,26.9401057994037,1327,1.8119137287139893
31,26.473217239859647,1312,1.8234894275665283
32,26.25156269146619,1361,1.9000768661499023
33,25.962800669148095,1245,1.8480052947998047
34,25.893948108421682,1261,1.935532569885254
35,25.414400161204348,1247,1.9030234813690186
36,25.385123240194325,1249,1.9998679161071777
37,25.1413635606599,1202,2.0393104553222656
38,25.006907458149655,1207,2.011903762817383
39,24.674367041485365,1103,1.8785536289215088
40,24.185304715600015,1194,2.0221002101898193
41,24.196906830581938,1120,2.0265185832977295
42,24.144885928012812,1140,2.043497323989868
43,23.871705956718557,1139,2.1062753200531006
44,23.528691439246842,1136,2.18511962890625
45,23.30937150325305,1093,2.111453056335449
46,23.071294390897624,1132,2.1810314655303955
47,22.90582553624306,1060,2.2053487300872803
48,23.06267936785507,1046,2.2447259426116943
49,22.699145164822383,1104,2.2399895191192627
50,22.494449890546555,1013,2.188950538635254
