K,MSE,ITERATIONS,EXECUTION TIME
2,541.1885746414357,100,0.43889713287353516
3,539.7282929305479,102,0.46654725074768066
4,538.6842278404142,100,0.46204113960266113
5,537.6388721164038,100,0.45146846771240234
6,536.2629930839674,101,0.464458703994751
7,535.2209754456093,100,0.4739997386932373
8,534.1789689742466,100,0.4694178104400635
9,533.1332481396093,100,0.46163010597229004
10,532.0880250184368,100,0.4527096748352051
11,531.0446485952863,100,0.46436500549316406
12,529.9983488910536,100,0.46594738960266113
13,528.9547027370479,100,0.4669759273529053
14,527.9105903185815,100,0.4628005027770996
15,526.8701365626591,100,0.4891049861907959
16,525.8234057441541,100,0.4923746585845947
17,524.780103505524,100,0.5053503513336182
18,523.7358527095487,100,0.529914140701294
19,522.6923646379119,100,0.5723385810852051
20,521.648901944007,100,0.5262601375579834
21,520.6093169152181,100,0.5304553508758545
22,519.5676757761134,100,0.5921690464019775
23,518.5280167338525,100,0.5815861225128174
24,517.4889792054558,100,0.5625722408294678
25,516.4519942112835,100,0.5787348747253418
26,515.413387567856,100,0.554689884185791
27,514.3673532822538,100,0.5395963191986084
28,513.3248345040477,100,0.5649333000183105
29,512.2887534067373,100,0.5284717082977295
30,511.2490081826416,100,0.5507345199584961
31,510.2081442786197,100,0.5655386447906494
32,509.1666031707103,100,0.7329559326171875
33,508.11889298683286,100,0.6432602405548096
34,507.07954946291545,100,0.6439173221588135
35,506.0406177905203,100,0.6693503856658936
36,505.00193142403793,100,0.6348004341125488
37,503.959686328305,100,0.6366584300994873
38,502.9167480676374,100,0.5626411437988281
39,501.87890662564723,100,0.6290199756622314
40,500.84067460416475,100,0.6510889530181885
41,499.80101249601023,100,0.5861952304840088
42,498.7641549654733,100,0.5774214267730713
43,497.73249411436916,100,0.5620129108428955
44,496.6918592551249,100,0.563244104385376
45,495.6544049415248,100,0.6143712997436523
46,494.61306952521977,100,0.6020383834838867
47,493.57761350293595,100,0.6133394241333008
48,492.5368142054882,100,0.5817039012908936
49,491.5011233665344,100,0.544428825378418
50,490.46228264610005,100,0.605750560760498
