K,MSE,ITERATIONS,EXECUTION TIME
2,60.26052050209054,601,1.6644151210784912
3,56.18275046771722,1351,2.289268970489502
4,53.19547205950432,1642,2.4385733604431152
5,50.86954060955903,1728,2.6258325576782227
6,49.079489977718595,1492,2.7098655700683594
7,47.60709246558375,1575,2.976811647415161
8,46.425628752072,1504,3.231266736984253
9,45.59683352840517,1590,3.4980216026306152
10,44.8562850609798,1529,3.741946220397949
11,44.15593360566443,1458,3.9893298149108887
12,43.55289419483468,1503,4.27154016494751
13,42.95011653015709,1446,4.482443571090698
14,42.235907321151615,1391,4.738246202468872
15,41.84161389998277,1370,4.897242546081543
16,41.47212671964132,1240,5.08622670173645
17,41.02434654342335,1251,5.375296354293823
18,40.70128834498498,1402,5.751066207885742
19,40.26392058848866,1201,5.88077712059021
20,40.02582001430682,1204,6.15168833732605
21,39.77808587600335,1222,6.413526296615601
22,39.3249112649296,1252,6.703862905502319
23,39.22856245129694,1208,6.970513105392456
24,38.646650235100935,1121,7.270305633544922
25,38.50750084922715,1182,7.621920824050903
26,38.28394804248869,1119,7.678695201873779
27,37.98360080158267,1075,7.897935152053833
28,37.67700126215797,1105,8.181535482406616
29,37.31821713329499,1075,8.907025575637817
30,37.17208360977749,1091,8.95962905883789
31,36.774085956211906,1079,9.111204385757446
32,36.844464638669635,1039,9.169216632843018
33,36.528691792162746,1041,9.422986507415771
34,36.345409631050615,1035,9.691178798675537
35,36.18774140302778,1040,10.035543203353882
36,35.94482134112086,1031,10.24498462677002
37,35.60534385478056,932,10.509336948394775
38,35.52868884626127,975,10.830497026443481
39,35.387142795862296,966,11.008240461349487
40,35.20604056041542,919,11.436487913131714
41,34.86572901504171,891,11.708002805709839
42,34.93815005275503,914,12.253623962402344
43,34.509248981988065,896,13.119513750076294
44,34.42416684217398,860,12.98615288734436
45,34.19918770103463,887,13.135577201843262
46,33.997328770886746,891,12.942409038543701
47,33.97076048044435,892,13.218014001846313
48,33.97997957212486,902,13.533898115158081
49,33.731771228215905,866,13.797023296356201
50,33.49071715371743,822,14.006047487258911
