K,MSE,ITERATIONS,EXECUTION TIME
2,546.8582685841742,569,2.1810309886932373
3,545.8229036913526,568,2.193096160888672
4,544.7874906655293,567,2.204477548599243
5,543.7519537744889,566,2.0776429176330566
6,542.7166202452754,565,2.197030782699585
7,541.6812463348292,564,2.2382328510284424
8,540.6459023257466,563,2.2549707889556885
9,539.6110750488372,562,2.10646915435791
10,538.5763765472591,561,2.183579206466675
11,537.5415669746415,560,2.274602174758911
12,536.5067969370618,559,2.290672540664673
13,535.4721489655144,558,2.0999703407287598
14,534.4372673979126,557,2.2374887466430664
15,533.4024180259229,556,2.252009153366089
16,532.3675908957032,555,2.259465217590332
17,531.332667804629,554,2.268706798553467
18,530.2977630538566,553,2.286588668823242
19,529.262857275271,552,2.3038864135742188
20,528.2288570085685,551,2.1921932697296143
21,527.1951517967589,550,2.309147834777832
22,526.1615210469242,549,2.3324058055877686
23,525.1285111690391,548,2.312342882156372
24,524.0949745419788,547,2.308218479156494
25,523.061701473059,546,2.3208627700805664
26,522.02864803831,545,2.2306270599365234
27,520.9955923848257,544,2.3519716262817383
28,519.9624845608271,543,2.362786293029785
29,518.9295793524357,542,2.367117166519165
30,517.8972951996391,541,2.2581753730773926
31,516.864919605966,540,2.3826916217803955
32,515.8325963988101,539,2.384093999862671
33,514.8001666117798,538,2.2988975048065186
34,513.7676304673648,537,2.401052474975586
35,512.7350701326752,536,2.4136831760406494
36,511.7024330459723,535,2.4258995056152344
37,510.6698775104603,534,2.4512922763824463
38,509.6374987747349,533,2.4429142475128174
39,508.6048318433245,532,2.4153788089752197
40,507.57227016444125,531,2.3426079750061035
41,506.5397075722465,530,2.4911372661590576
42,505.5072391999968,529,2.4908385276794434
43,504.47473400271093,528,2.4753522872924805
44,503.44283699898256,527,2.49246883392334
45,502.41112368979435,526,2.4834024906158447
46,501.3793007692859,525,2.490839719772339
47,500.347470782244,524,2.4112319946289062
48,499.31551393821684,523,2.507925271987915
49,498.2837216565773,522,2.4984307289123535
50,497.2515994600427,521,2.4843266010284424
