K,MSE,ITERATIONS,EXECUTION TIME
2,546.8590435097386,100,0.40125131607055664
3,545.825222434733,100,0.40758514404296875
4,544.7901430000074,100,0.39905405044555664
5,543.7558442231709,100,0.3941764831542969
6,542.7201206911432,100,0.3918910026550293
7,541.6842864647222,100,0.3938264846801758
8,540.6511587728003,100,0.40979933738708496
9,539.6185221307999,100,0.41019558906555176
10,538.5823376654905,100,0.4391210079193115
11,537.5477013968206,100,0.4243302345275879
12,536.5116541838034,100,0.4250662326812744
13,535.4766025358624,100,0.4259340763092041
14,534.4452733291691,100,0.43326783180236816
15,533.4083396607078,100,0.4414372444152832
16,532.3729837755608,100,0.43777036666870117
17,531.3403541588858,100,0.4421994686126709
18,530.3084167937111,100,0.46109461784362793
19,529.275913125702,100,0.44690513610839844
20,528.2400814486193,100,0.46607184410095215
21,527.2080286383723,100,0.46102023124694824
22,526.1751031223016,100,0.4692955017089844
23,525.1416952867186,100,0.4594759941101074
24,524.1058650300383,100,0.4700162410736084
25,523.0695593888477,100,0.46375060081481934
26,522.0330069346026,100,0.4664919376373291
27,521.0011046832167,100,0.4663839340209961
28,519.968369832943,100,0.4582538604736328
29,518.9319656859002,100,0.4504971504211426
30,517.9024743893842,100,0.4431002140045166
31,516.8711326323482,100,0.44614195823669434
32,515.8407521494432,100,0.44483017921447754
33,514.8091495039725,100,0.4746513366699219
34,513.777831430272,100,0.4741809368133545
35,512.7450834409193,100,0.47501611709594727
36,511.709521806619,100,0.49134349822998047
37,510.67952229055777,100,0.4831552505493164
38,509.6463212030796,100,0.4834465980529785
39,508.6143793530678,100,0.48340582847595215
40,507.58215423211186,100,0.4918367862701416
41,506.5492258285624,100,0.495999813079834
42,505.5183535161492,100,0.48920774459838867
43,504.48408344212737,100,0.49799299240112305
44,503.4493729580169,100,0.48201584815979004
45,502.41796655670566,100,0.4681541919708252
46,501.383149363253,100,0.48311710357666016
47,500.35133436966066,100,0.4854719638824463
48,499.3188850545088,100,0.48948240280151367
49,498.2838654611638,100,0.49245500564575195
50,497.2520606255398,100,0.5240521430969238
