K,MSE,ITERATIONS,EXECUTION TIME
2,8.397538672211269e-06,806,1.1671078205108643
3,7.783596105204182e-06,1553,1.448631763458252
4,7.347801212365113e-06,1324,1.042529582977295
5,7.012904413628007e-06,1216,0.7145617008209229
6,6.7483459424977355e-06,734,0.46755146980285645
7,6.54697105539892e-06,621,0.4200325012207031
8,6.38175721923151e-06,452,0.3415262699127197
9,6.236879472765189e-06,454,0.351029634475708
10,6.12239521802227e-06,466,0.3710496425628662
11,6.017898705468205e-06,324,0.2885274887084961
12,5.919013757238467e-06,337,0.3035249710083008
13,5.8440598015296885e-06,225,0.24201583862304688
14,5.763496442323657e-06,209,0.23701858520507812
15,5.697266073911855e-06,178,0.22052001953125
16,5.611307548059052e-06,185,0.23503732681274414
17,5.551115261348549e-06,190,0.242020845413208
18,5.4931085131659785e-06,158,0.21917319297790527
19,5.44363810439652e-06,175,0.23201513290405273
20,5.392420114547214e-06,159,0.22501564025878906
21,5.337803338445468e-06,171,0.2405233383178711
22,5.298874286907562e-06,128,0.2090167999267578
23,5.263067584637682e-06,133,0.21701312065124512
24,5.227509138339137e-06,128,0.21902036666870117
25,5.191710009455619e-06,129,0.22301506996154785
26,5.156514669035772e-06,132,0.23452472686767578
27,5.121917186157177e-06,126,0.23876047134399414
28,5.081753874480732e-06,135,0.25052762031555176
29,5.047812263958562e-06,133,0.2440183162689209
30,5.016585830852627e-06,116,0.22701501846313477
31,4.983792048607327e-06,112,0.2275233268737793
32,4.950805530867797e-06,115,0.2380235195159912
33,4.9193866313856915e-06,117,0.24301600456237793
34,4.889540008656823e-06,111,0.24352526664733887
35,4.864477528454536e-06,112,0.24976134300231934
36,4.8411064513809166e-06,110,0.24052643775939941
37,4.8143674448164475e-06,112,0.24701571464538574
38,4.790512034391625e-06,115,0.25052332878112793
39,4.767693758789271e-06,111,0.24901533126831055
40,4.745825407326265e-06,118,0.26552534103393555
41,4.724150910351277e-06,111,0.2665281295776367
42,4.700895741227562e-06,110,0.26401519775390625
43,4.679690026709871e-06,109,0.26552534103393555
44,4.658320054029552e-06,111,0.26401734352111816
45,4.635860562207661e-06,122,0.2855224609375
46,4.613909511452796e-06,108,0.2725253105163574
47,4.592329736152756e-06,116,0.28752613067626953
48,4.572525184931564e-06,120,0.29353928565979004
49,4.551338730340859e-06,113,0.28953003883361816
50,4.530415174563984e-06,116,0.2925283908843994
