K,MSE,ITERATIONS,EXECUTION TIME
2,8.397538672211269e-06,560,0.7690210342407227
3,7.783596105204182e-06,1291,1.1651458740234375
4,7.347819295344671e-06,1629,1.0976190567016602
5,7.01231619670839e-06,1918,1.1961174011230469
6,6.748066680439813e-06,1755,1.098341703414917
7,6.53336711808894e-06,1740,1.1027882099151611
8,6.3658065611038595e-06,1735,1.1521401405334473
9,6.243217875123719e-06,1595,1.143021821975708
10,6.136764938435846e-06,1700,1.2371752262115479
11,6.020091814384898e-06,1685,1.2618005275726318
12,5.9506330352121495e-06,1602,1.294712781906128
13,5.861481028546223e-06,1533,1.299734354019165
14,5.7717479294838725e-06,1502,1.3071486949920654
15,5.7095277726793014e-06,1459,1.348691463470459
16,5.657502363254352e-06,1349,1.3099582195281982
17,5.6004578334878374e-06,1357,1.346259355545044
18,5.5554066906715605e-06,1341,1.3657350540161133
19,5.4915765286267515e-06,1368,1.425790786743164
20,5.4465342664844485e-06,1285,1.4071383476257324
21,5.417710949418009e-06,1258,1.417147159576416
22,5.334886993280108e-06,1319,1.4837095737457275
23,5.304381108239831e-06,1210,1.423173427581787
24,5.2500410991918045e-06,1152,1.4082839488983154
25,5.2448234603152954e-06,1174,1.476818323135376
26,5.195920081413341e-06,1148,1.4928247928619385
27,5.142316638062638e-06,1129,1.4887616634368896
28,5.1121060815617625e-06,1147,1.5971534252166748
29,5.091734784912205e-06,1063,1.5616455078125
30,5.044052227898277e-06,1068,1.5762887001037598
31,5.009551284684832e-06,1038,1.5902948379516602
32,4.982540188547269e-06,1003,1.5617976188659668
33,4.960001499298983e-06,1036,1.6567327976226807
34,4.9332265463775116e-06,1032,1.6896872520446777
35,4.916219999540061e-06,991,1.6837835311889648
36,4.886411164473081e-06,988,1.6888465881347656
37,4.862117428339197e-06,981,1.7228856086730957
38,4.851804603411836e-06,953,1.7596755027770996
39,4.797407283541055e-06,906,1.7301750183105469
40,4.812072247339927e-06,986,1.8382232189178467
41,4.7845636466092856e-06,939,1.7220616340637207
42,4.747839398300258e-06,935,1.774320363998413
43,4.706195251280576e-06,916,1.77128267288208
44,4.6902749570865154e-06,904,1.783757209777832
45,4.667009652514764e-06,874,1.7524466514587402
46,4.6230382606538e-06,871,1.7847020626068115
47,4.642140418398277e-06,886,1.8371474742889404
48,4.607897401864847e-06,820,1.814664602279663
49,4.596273174617416e-06,815,1.858720064163208
50,4.576827066227196e-06,845,1.8466506004333496
