K,MSE,ITERATIONS,EXECUTION TIME
2,526.556432784531,889,1.1316471099853516
3,518.5107514727092,1187,0.9204599857330322
4,512.5004233683262,1248,0.8022630214691162
5,507.58361959962224,1246,0.7327380180358887
6,503.42696059163904,1296,0.7712631225585938
7,499.5632534979866,1311,0.7748599052429199
8,496.09626429279894,1283,0.7942285537719727
9,492.56774304692385,1268,0.8145191669464111
10,490.6419917640004,1293,0.8439826965332031
11,487.04543645752693,1253,0.8234167098999023
12,486.5901160743516,1262,0.8437628746032715
13,483.82645103641306,1226,0.8252725601196289
14,483.1716948887191,1226,0.8507182598114014
15,481.38270675565667,1266,0.894171953201294
16,480.54674589871786,1218,0.8798742294311523
17,478.7902646132776,1231,0.9039461612701416
18,478.43689899232265,1213,0.9220535755157471
19,477.7235658947597,1283,0.9771020412445068
20,476.1891529916571,1222,0.9670977592468262
21,474.87541376657066,1238,0.9999361038208008
22,473.72610960374664,1250,1.0340182781219482
23,474.92984879097685,1193,1.0539329051971436
24,473.8777856177343,1235,1.1080589294433594
25,473.70660715141184,1327,1.1871066093444824
26,471.93314390766375,1269,1.1453101634979248
27,471.81277933297275,1259,1.1569666862487793
28,471.88085006597817,1230,1.1580729484558105
29,468.934108585795,1292,1.2011237144470215
30,469.8582371109719,1215,1.1549434661865234
31,467.2579044751285,1259,1.2120254039764404
32,469.1217287419997,1232,1.2040526866912842
33,467.93906831823983,1348,1.321044921875
34,469.40855439986467,1266,1.27372407913208
35,468.5183471963367,1273,1.3302843570709229
36,466.308236246565,1263,1.3367493152618408
37,465.4513150765841,1251,1.3311333656311035
38,468.37367300909335,1235,1.369934320449829
39,466.5589955030681,1255,1.3757765293121338
40,465.7377354461569,1316,1.474283218383789
41,466.62281841245334,1256,1.4198977947235107
42,464.8877162923604,1260,1.4106347560882568
43,464.31658763364163,1283,1.4693257808685303
44,464.7952181742032,1310,1.5360522270202637
45,464.73717067113597,1265,1.4699394702911377
46,463.5632367982869,1228,1.4420721530914307
47,461.8441717046853,1266,1.4909987449645996
48,462.84503947642315,1268,1.5191199779510498
49,463.45453223648155,1227,1.4950833320617676
50,460.79494743452494,1228,1.5017540454864502
