K,MSE,ITERATIONS,EXECUTION TIME
2,28188.42209967012,969,2.0511839389801025
3,21627.74539081534,1202,2.1677818298339844
4,19235.154250414627,862,1.4869029521942139
5,17154.192110719378,1194,1.8963313102722168
6,15555.770528937122,1106,1.7642617225646973
7,14287.94214304091,777,1.09549880027771
8,13364.57719782308,609,0.9223859310150146
9,12671.133744111474,757,1.0804965496063232
10,11994.923334752651,661,1.0204436779022217
11,11356.374537925352,644,1.029453992843628
12,10820.114169301436,616,0.931678295135498
13,10365.299140259402,625,0.9371228218078613
14,9943.433876185916,599,0.8286330699920654
15,9550.910609955463,517,0.7433946132659912
16,9204.563389906481,474,0.6357443332672119
17,8890.332628891367,473,0.6948940753936768
18,8609.266651480379,492,0.705524206161499
19,8339.06123682301,362,0.4172658920288086
20,8071.038444079885,362,0.4248175621032715
21,7811.262651066034,430,0.49788641929626465
22,7578.912235118044,383,0.49956536293029785
23,7349.602644722428,361,0.4479680061340332
24,7143.263615461643,354,0.4427816867828369
25,6970.193890252231,394,0.5245180130004883
26,6800.395625916579,367,0.4727628231048584
27,6635.834568924818,289,0.39947032928466797
28,6492.00001988694,303,0.46278905868530273
29,6357.559237715091,325,0.47365593910217285
30,6220.754605737615,293,0.46148085594177246
31,6089.462079479518,315,0.45140719413757324
32,5962.633651405971,312,0.47145915031433105
33,5841.1487017952695,266,0.4442274570465088
34,5723.378072533576,273,0.4333481788635254
35,5607.746257695959,266,0.5300707817077637
36,5497.860596998941,291,0.4619429111480713
37,5390.9749347104,298,0.491025447845459
38,5284.743035977333,322,0.5165481567382812
39,5185.9140168973,338,0.5371174812316895
40,5089.0065342611815,305,0.5168731212615967
41,4992.924908652934,322,0.534651517868042
42,4900.180596438333,294,0.5291855335235596
43,4810.986925207247,278,0.47921109199523926
44,4723.9105955764835,242,0.6320431232452393
45,4641.556753931118,262,0.5470962524414062
46,4562.260873138496,274,0.5544161796569824
47,4484.590969865739,266,0.5668685436248779
48,4407.613893506355,227,0.490062952041626
49,4338.771074919274,232,0.49616527557373047
50,4262.165590272902,285,0.5363070964813232
