K,MSE,ITERATIONS,EXECUTION TIME
2,28188.42209967012,928,2.10005521774292
3,21627.74539081534,1146,2.104503870010376
4,19235.154250414627,937,1.6726107597351074
5,17154.192110719378,1176,1.8290777206420898
6,15557.064310646932,1077,1.7333629131317139
7,14287.94214304091,717,1.073958396911621
8,13364.57719782308,674,0.9917726516723633
9,12673.257568691963,769,1.1175246238708496
10,11997.047159333142,636,0.9659230709075928
11,11379.227763986171,687,1.0358386039733887
12,10842.967395362253,590,0.9139161109924316
13,10395.08664180561,585,0.9330039024353027
14,9987.82961713844,627,0.8421900272369385
15,9558.10017986759,632,0.8606603145599365
16,9164.463955070216,538,0.8252670764923096
17,8818.116735021234,495,0.716538667678833
18,8535.306925891791,448,0.6800439357757568
19,8265.101511234423,383,0.49311065673828125
20,7997.078718491297,326,0.46517062187194824
21,7768.776429214229,360,0.46285152435302734
22,7562.437399953444,336,0.5172479152679443
23,7361.6808336414115,336,0.5081226825714111
24,7178.901370088316,363,0.5117359161376953
25,7009.442243939321,376,0.5478565692901611
26,6838.509643642767,372,0.5202591419219971
27,6669.086909454487,371,0.5581369400024414
28,6500.186043416296,303,0.5084404945373535
29,6365.336602096795,273,0.45867156982421875
30,6230.726433798249,298,0.4761619567871094
31,6099.433907540153,283,0.4762101173400879
32,5972.586603932938,294,0.5191776752471924
33,5847.644110426422,345,0.5752956867218018
34,5724.272829099927,321,0.5297975540161133
35,5604.784397154816,282,0.5034844875335693
36,5494.029672810844,303,0.5258371829986572
37,5387.797774077779,273,0.5175905227661133
38,5285.419363918343,295,0.5424332618713379
39,5184.097812650094,260,0.5126235485076904
40,5083.79759739316,297,0.5562107563018799
41,4980.904391369667,289,0.5430104732513428
42,4884.82276576142,270,0.5498991012573242
43,4800.810808393957,290,0.5262892246246338
44,4708.0664961793545,286,0.5246832370758057
45,4623.554275308283,294,0.5549893379211426
46,4546.606955796526,285,0.5720157623291016
47,4466.522970481188,290,0.5714178085327148
48,4397.200157814945,273,0.537391185760498
49,4333.11420519145,226,0.47367119789123535
50,4266.481876118961,307,0.60695481300354
