K,MSE,ITERATIONS,EXECUTION TIME
2,28188.42209967012,845,2.3324742317199707
3,21627.74539081534,1044,2.737301826477051
4,19235.154250414627,1007,2.829237461090088
5,17138.776501826826,1078,3.1000943183898926
6,15572.431081420067,1100,3.2916438579559326
7,14287.35291003074,1270,3.7470805644989014
8,13480.428890514813,1480,4.110992193222046
9,12721.613207899318,1448,4.213974952697754
10,12057.981930075568,1432,4.433408737182617
11,11596.149660916224,1409,4.644280910491943
12,11107.679606526013,1519,4.7823028564453125
13,10485.75089092297,1404,4.915671348571777
14,10249.500277244279,1491,5.267316579818726
15,9677.01115676686,1499,5.464111804962158
16,9344.929896176816,1533,5.68365740776062
17,9037.263003329255,1589,5.911803722381592
18,8682.662391569782,1574,6.120919227600098
19,8513.30357163876,1591,6.368018388748169
20,8186.2625567957175,1634,6.742983102798462
21,7853.00245327282,1587,6.943206787109375
22,7767.189047139931,1624,7.189913272857666
23,7655.4053933575715,1623,7.466695308685303
24,7420.8908070055,1557,7.74009895324707
25,7272.281323721172,1669,8.058635473251343
26,7040.26224073317,1554,8.187471628189087
27,7029.869832549102,1469,8.543834924697876
28,6725.475299891861,1433,8.990490198135376
29,6652.712269150042,1600,8.926514863967896
30,6516.92560492795,1480,9.050357341766357
31,6300.220834782305,1468,9.316840648651123
32,6239.137272670816,1428,9.473775148391724
33,6097.503726114813,1607,9.958903551101685
34,6111.313932416189,1571,10.224560022354126
35,5979.860927196292,1475,10.351747035980225
36,5782.113729375372,1385,10.573654174804688
37,5645.4999694405915,1499,11.109616041183472
38,5570.106233121428,1512,11.67988896369934
39,5475.104850397605,1411,11.975332736968994
40,5419.383119321981,1476,12.158060073852539
41,5305.6321374113795,1404,12.448557138442993
42,5305.056551113585,1480,12.776911497116089
43,5176.24419777096,1419,12.983588933944702
44,5036.467965439817,1353,13.18131399154663
45,5026.206347038446,1347,13.4997878074646
46,5003.465803181782,1472,13.998956203460693
47,4851.799077886841,1336,13.992127895355225
48,4825.817452074871,1346,14.44219970703125
49,4722.576522136212,1339,14.565153121948242
50,4632.010712359001,1419,14.970487594604492
