K,MSE,ITERATIONS,EXECUTION TIME
2,252.64739798215675,786,1.2621204853057861
3,234.91977957770587,1534,1.4524567127227783
4,220.18154617272359,1405,1.1975500583648682
5,206.69416274714848,1373,0.982790470123291
6,197.31358049644973,1176,0.7847797870635986
7,188.86141208884092,1027,0.7050385475158691
8,182.63751860697928,764,0.559964656829834
9,176.912883005014,816,0.600041389465332
10,172.6338490345469,594,0.48458313941955566
11,168.9656086025409,546,0.460479736328125
12,165.78042095668326,488,0.43015336990356445
13,162.39944718244948,491,0.44504404067993164
14,159.24360344555555,461,0.42992353439331055
15,156.3582437729487,433,0.4199185371398926
16,153.813624647194,456,0.42964863777160645
17,151.40254253645168,467,0.4581873416900635
18,149.03249743384612,388,0.39217281341552734
19,146.8935407132243,375,0.40494489669799805
20,144.83546076403695,363,0.39601778984069824
21,142.88774461511045,303,0.358762264251709
22,141.0051114646887,296,0.3607792854309082
23,139.22562772511498,281,0.34613680839538574
24,137.4456474414426,312,0.3814735412597656
25,135.86112363199635,271,0.35082578659057617
26,134.29357899193866,251,0.3398599624633789
27,132.79015434257587,282,0.3771805763244629
28,131.35029838344263,265,0.36571288108825684
29,129.99255540222984,246,0.3514585494995117
30,128.74083986077957,231,0.35029053688049316
31,127.51288449428402,211,0.32985830307006836
32,126.32737489117208,221,0.3462808132171631
33,125.16044163498097,191,0.31835484504699707
34,123.9566677912545,196,0.33060669898986816
35,122.82144982303465,201,0.33516836166381836
36,121.68799993489432,212,0.36122822761535645
37,120.56124721506998,198,0.3578147888183594
38,119.49803528167931,199,0.34984612464904785
39,118.46625745003995,190,0.3398270606994629
40,117.3859334481691,207,0.3726518154144287
41,116.33553248989988,185,0.3572056293487549
42,115.27633083751203,182,0.3600308895111084
43,114.08364809870858,191,0.36973023414611816
44,112.98914764318265,211,0.40204954147338867
45,111.95977693933017,183,0.34832286834716797
46,110.94550954131705,196,0.38004159927368164
47,109.97864582795947,178,0.3709452152252197
48,108.87592961176671,190,0.3987741470336914
49,107.9410764776545,172,0.37001490592956543
50,107.047994382608,189,0.39373254776000977
