K,MSE,ITERATIONS,EXECUTION TIME
2,252.64739798215675,573,1.5895471572875977
3,234.98084910949768,1552,2.399770498275757
4,219.56126509384,1628,2.5338284969329834
5,206.64750035369656,2006,2.8162078857421875
6,197.39193974338602,1681,2.817270517349243
7,188.91483993351397,1829,3.392364740371704
8,182.88868088622763,1825,3.977113962173462
9,176.94417241606067,1765,3.852567434310913
10,172.6610505645672,1814,4.270451307296753
11,168.99006984904833,1731,4.229880094528198
12,165.3548551625592,1717,4.613940954208374
13,162.45868083723758,1663,4.580168724060059
14,160.58104460418954,1581,5.007271766662598
15,158.34117710333197,1583,5.535945653915405
16,155.4102954518253,1432,5.512721538543701
17,153.58356049792638,1426,5.899877071380615
18,151.6376212023319,1450,6.517549991607666
19,149.32785117997827,1430,7.20147705078125
20,147.4140655238175,1359,7.035863637924194
21,144.97765148693634,1444,7.3056135177612305
22,142.9786087386022,1395,7.123426198959351
23,143.0886398050464,1477,7.837988615036011
24,139.7387080206958,1356,7.860246419906616
25,139.2776832343302,1279,8.045455932617188
26,137.05810089161588,1322,8.779642343521118
27,136.44250153807394,1295,8.477748155593872
28,135.23592249142808,1256,8.636990308761597
29,134.23377263043432,1389,8.993632793426514
30,131.26467030442907,1316,9.765775680541992
31,131.24011391380407,1276,9.491685152053833
32,129.28421062222225,1213,10.131036043167114
33,127.61502316487645,1323,10.52482533454895
34,126.38453315661977,1247,10.47763729095459
35,126.69697589094362,1194,11.132237195968628
36,124.83672359192036,1260,10.850019454956055
37,123.51964415556989,1199,11.004436254501343
38,123.54289642839345,1224,11.284818410873413
39,122.26343805275562,1231,11.98323917388916
40,120.75564902876084,1157,11.822365522384644
41,119.436554996105,1107,12.489923477172852
42,119.23666569765629,1187,13.093339204788208
43,117.55940266513907,1120,12.843177795410156
44,116.75970054630798,1123,12.940178871154785
45,115.8350613592068,1149,13.739791870117188
46,115.15122543674698,1129,13.442880868911743
47,114.03721737913526,1096,14.422285795211792
48,112.91746875487509,1074,14.272283792495728
49,112.19037214659252,1082,14.591222763061523
50,111.5050653463102,1118,14.939258098602295
