K,MSE,ITERATIONS,EXECUTION TIME
2,268.32171658465757,5370,6.522480010986328
3,250.25067170809268,8647,6.479552745819092
4,235.05090660543334,9488,6.0615832805633545
5,221.02702197369786,7831,4.800533056259155
6,211.16696004887692,7571,4.357550621032715
7,202.31792409265285,7193,4.39741849899292
8,195.73509547658648,6433,4.078164339065552
9,189.97814985108909,5820,3.7909727096557617
10,185.36010144287408,5374,3.6175811290740967
11,181.5522154722249,4246,3.016683340072632
12,178.04825373087203,4110,2.9937212467193604
13,174.5129566827933,4070,2.9556498527526855
14,171.20018421504034,3825,2.7379257678985596
15,168.31807813678273,3560,2.661334276199341
16,165.70019246545735,3417,2.733128786087036
17,163.30106053995883,3208,2.6569955348968506
18,161.07609066720954,2991,2.5475683212280273
19,158.85500808736631,2988,2.614189386367798
20,156.70499411933042,2948,2.6178619861602783
21,154.67126756978573,2858,2.5771842002868652
22,152.71539439121528,2706,2.52463698387146
23,150.79809551131427,2630,2.5081987380981445
24,148.8523249888068,2485,2.428746461868286
25,147.244062688243,2398,2.396350383758545
26,145.64261783189733,2395,2.442110538482666
27,144.05414457537375,2366,2.4514238834381104
28,142.57773155040096,2248,2.398430109024048
29,141.04418293915182,2177,2.4333717823028564
30,139.59043639509042,1966,2.2733187675476074
31,138.15723089330083,1954,2.275665760040283
32,136.84507437142202,1941,2.257951498031616
33,135.5343680604405,1833,2.1918885707855225
34,134.22992857400223,1825,2.2167482376098633
35,132.97367477454455,1821,2.2334413528442383
36,131.79390143735708,1798,2.2580087184906006
37,130.63938813593592,1806,2.291910409927368
38,129.51035745918048,1754,2.2832372188568115
39,128.38697610596756,1473,2.0587308406829834
40,127.22079430920371,1440,2.051363468170166
41,126.1246279449389,1439,2.073333501815796
42,125.07095582103398,1432,2.091268539428711
43,124.05669617174306,1400,2.083582878112793
44,123.0442983596742,1399,2.12503981590271
45,122.05614748202461,1376,2.1122515201568604
46,121.00919539694598,1375,2.1292614936828613
47,120.02535823372912,1374,2.1517155170440674
48,119.05109974822125,1362,2.1812684535980225
49,118.07804478292434,1361,2.200173854827881
50,117.01343277812231,1344,2.193755626678467
