K,MSE,ITERATIONS,EXECUTION TIME
2,268.32171658465757,946,1.4523897171020508
3,250.32803906879917,1362,1.3025429248809814
4,234.7419857502822,1726,1.3153934478759766
5,220.96539681799482,1267,0.8000240325927734
6,211.20404466616046,1019,0.665564775466919
7,202.346670988501,925,0.6374495029449463
8,195.739059620698,760,0.5455665588378906
9,190.03945538245927,769,0.5921721458435059
10,185.43980218986857,606,0.4919874668121338
11,181.62714934769377,501,0.44443678855895996
12,178.12870707748186,480,0.4435245990753174
13,174.7149020505558,506,0.46726393699645996
14,171.29133344097872,494,0.4583473205566406
15,168.61264398913323,419,0.3949315547943115
16,166.04374260684122,402,0.4162135124206543
17,163.68547034823536,333,0.37143993377685547
18,161.46050047548607,366,0.41768503189086914
19,159.28976239226265,362,0.41237592697143555
20,157.21031579406656,306,0.353865385055542
21,155.08464003135146,275,0.3412208557128906
22,153.08608176135982,289,0.37529873847961426
23,151.11409277600376,273,0.357450008392334
24,149.36725000842773,252,0.3610663414001465
25,147.42901752605061,245,0.34951281547546387
26,145.82075522548683,240,0.36176633834838867
27,144.35829189635297,229,0.3502941131591797
28,142.77666545470848,215,0.33405423164367676
29,141.33515577246305,252,0.36817264556884766
30,139.91566802597552,228,0.37438344955444336
31,138.50404540118012,242,0.3710975646972656
32,137.18192301524368,235,0.3717978000640869
33,135.99989922961566,248,0.3822922706604004
34,134.79002718071607,195,0.3345308303833008
35,133.60334615940673,207,0.35110998153686523
36,132.41601920292118,221,0.3781704902648926
37,131.2924221359395,210,0.36015868186950684
38,130.27041783322449,179,0.3424813747406006
39,129.14364695446412,218,0.3924250602722168
40,128.05836893716048,220,0.387495756149292
41,127.03268080183122,183,0.3576231002807617
42,125.96725411099789,215,0.40581274032592773
43,124.6878075952353,196,0.3696737289428711
44,123.58346115561028,195,0.3791999816894531
45,122.58021786756197,168,0.3590207099914551
46,121.5920669899124,190,0.37906575202941895
47,120.53808776595318,191,0.3929743766784668
48,119.49113568087455,189,0.3992636203765869
49,118.48253977131293,185,0.4000570774078369
50,117.50828128580504,175,0.38994598388671875
