K,MSE,ITERATIONS,EXECUTION TIME
2,268.32171658465757,723,0.838127613067627
3,250.22840976429322,1318,1.0085351467132568
4,234.36176132115918,1662,1.0873467922210693
5,220.97473872076066,1877,1.1131858825683594
6,211.204153157983,1784,1.0796902179718018
7,202.3323327107977,1731,1.0655827522277832
8,195.83270634524717,1728,1.13020920753479
9,190.12714216890816,1812,1.1914467811584473
10,185.63024078588103,1918,1.2995903491973877
11,181.65403185954472,1802,1.267038345336914
12,178.53450978643642,1620,1.2564289569854736
13,175.31534048680746,1559,1.2360882759094238
14,171.69881539361148,1618,1.3052237033843994
15,169.8439080846316,1563,1.319793462753296
16,166.88633710306777,1628,1.4118247032165527
17,164.63513555294958,1552,1.4028117656707764
18,162.58455807719204,1457,1.3849971294403076
19,160.20607160740917,1451,1.3959388732910156
20,158.79632759418723,1445,1.4195802211761475
21,156.9784744707625,1343,1.3995773792266846
22,155.6876581774253,1341,1.4177954196929932
23,153.55748271707873,1455,1.5319457054138184
24,150.84980092261907,1343,1.5240733623504639
25,149.48712411336987,1395,1.5666821002960205
26,148.699074477699,1271,1.5166778564453125
27,147.37548206553907,1273,1.549342155456543
28,146.53232460461098,1366,1.6427116394042969
29,144.84908952338952,1231,1.5907588005065918
30,143.12746915695183,1272,1.6413912773132324
31,142.11814104714642,1306,1.7116508483886719
32,140.49046097417056,1191,1.6482250690460205
33,140.1687251324691,1270,1.7518625259399414
34,138.2740542830087,1225,1.7393114566802979
35,137.23232055161856,1138,1.7003424167633057
36,136.13073788609682,1203,1.775040626525879
37,135.24335036581036,1175,1.8005776405334473
38,134.2210900324066,1182,1.8328382968902588
39,132.2746987866867,1171,1.8504109382629395
40,131.17971955852298,1165,1.8995425701141357
41,130.89905965589384,1066,1.8431367874145508
42,129.68427805858778,1071,1.8769195079803467
43,129.27389960702877,1074,1.9648528099060059
44,128.40278059052804,1086,2.027416944503784
45,127.59945446385686,1024,1.9308593273162842
46,126.91333352380497,1067,2.0080525875091553
47,125.38771055386397,1066,2.0609657764434814
48,125.3264881611565,995,1.9769952297210693
49,124.55559206286574,1031,2.0336732864379883
50,122.748023990745,1029,2.066685199737549
