K,MSE,ITERATIONS,EXECUTION TIME
2,1.8743107764729317e-06,4784,6.753180980682373
3,1.6241454461329852e-06,12166,11.325304508209229
4,1.4783155641850954e-06,7819,6.0595948696136475
5,1.359042232307317e-06,8594,6.552234649658203
6,1.267638936930382e-06,7933,4.599148988723755
7,1.1969448586723885e-06,7327,4.4444358348846436
8,1.1340065934062338e-06,7215,4.392405033111572
9,1.090667604008999e-06,7235,4.499183177947998
10,1.048078011711695e-06,5784,3.7727572917938232
11,1.0107467637299195e-06,5697,3.8394265174865723
12,9.840869986676992e-07,5036,3.479199171066284
13,9.59573453473972e-07,4800,3.421001434326172
14,9.352891398028973e-07,4428,3.2428781986236572
15,9.133898705160348e-07,4455,3.3651859760284424
16,8.927271815117876e-07,4489,3.4329471588134766
17,8.736686319954501e-07,4481,3.4911258220672607
18,8.548459082824422e-07,4555,3.59873104095459
19,8.371245950877793e-07,4077,3.327329397201538
20,8.205227436386409e-07,3914,3.3051867485046387
21,8.05281351712317e-07,3745,3.20017671585083
22,7.909853805276867e-07,3313,2.9643051624298096
23,7.773496337737384e-07,3228,2.9280450344085693
24,7.642721442380207e-07,3154,2.919910192489624
25,7.515279180081436e-07,3143,2.963925361633301
26,7.396306492823967e-07,3217,3.0502748489379883
27,7.281281849680354e-07,3111,3.019564628601074
28,7.170447281490411e-07,3011,2.996000051498413
29,7.063678624241732e-07,2909,3.03092360496521
30,6.96448471781963e-07,2849,2.995122194290161
31,6.865523793919692e-07,2568,2.800248622894287
32,6.771171606745341e-07,2543,2.826955795288086
33,6.683694522280348e-07,2540,2.8592610359191895
34,6.598675457158976e-07,2511,2.9416239261627197
35,6.513569654753582e-07,2483,2.9708192348480225
36,6.433114166926046e-07,2457,2.963329792022705
37,6.353269731418365e-07,2406,2.947606086730957
38,6.274104461523322e-07,2368,2.9035277366638184
39,6.196436873606714e-07,2367,2.9969139099121094
40,6.123535354340959e-07,2152,2.7551915645599365
41,6.060306021460349e-07,2126,2.7735941410064697
42,5.99726355243746e-07,2077,2.8103256225585938
43,5.928445968583773e-07,2067,2.8393235206604004
44,5.862242722365352e-07,2057,2.851116418838501
45,5.795543752684651e-07,1952,2.780684471130371
46,5.733259329510076e-07,1903,2.7853453159332275
47,5.672567747749824e-07,1878,2.7641286849975586
48,5.613865659004347e-07,1841,2.699155807495117
49,5.55543844038553e-07,1834,2.773367404937744
50,5.497617241445596e-07,1832,2.799598455429077
