K,MSE,ITERATIONS,EXECUTION TIME
2,1.8743107764729317e-06,629,0.8647377490997314
3,1.624146155232431e-06,2014,1.8578715324401855
4,1.4787802642413084e-06,1516,1.139683723449707
5,1.3594318294396501e-06,1906,1.1576440334320068
6,1.267660180603869e-06,2112,1.2271780967712402
7,1.198835829052669e-06,2003,1.1507139205932617
8,1.134116267786922e-06,2087,1.2257905006408691
9,1.0906647722741525e-06,2151,1.2987875938415527
10,1.0512472583545929e-06,2206,1.3642594814300537
11,1.0119727440471848e-06,2252,1.4328172206878662
12,9.909044034195347e-07,2081,1.3468503952026367
13,9.693307221336767e-07,2027,1.338386058807373
14,9.461854211245679e-07,2051,1.3923625946044922
15,9.306866464164898e-07,1985,1.3887159824371338
16,9.113975891761328e-07,1981,1.3974072933197021
17,8.918191924944807e-07,1946,1.4062738418579102
18,8.751000765139239e-07,2010,1.478358268737793
19,8.584075809059399e-07,1901,1.424851894378662
20,8.514895958322555e-07,2028,1.5537223815917969
21,8.404500357883649e-07,1940,1.4976396560668945
22,8.286525609024764e-07,1962,1.5593743324279785
23,8.176936920900602e-07,1944,1.5598406791687012
24,8.059129046333879e-07,2018,1.6313576698303223
25,7.923669661513699e-07,1958,1.6134071350097656
26,7.814722062793322e-07,1944,1.664914608001709
27,7.700861198722819e-07,1868,1.6227779388427734
28,7.61930510906339e-07,2008,1.7492034435272217
29,7.442455282058447e-07,1935,1.7213757038116455
30,7.464219730080046e-07,1838,1.6583921909332275
31,7.465737315026644e-07,2012,1.813523769378662
32,7.297206502387965e-07,1924,1.7928049564361572
33,7.055233809394323e-07,1998,1.885331392288208
34,7.185276518217876e-07,1976,1.8687574863433838
35,7.086832303215829e-07,1895,1.862898826599121
36,7.110123864118023e-07,1868,1.857050895690918
37,6.845255272613926e-07,1882,1.8883075714111328
38,6.967764836218748e-07,1750,1.793243169784546
39,6.734280381115454e-07,1926,1.9858648777008057
40,6.829941432417996e-07,1808,1.881739854812622
41,6.84546306750633e-07,1845,1.951294183731079
42,6.665148041262725e-07,1812,1.9432263374328613
43,6.61199049956096e-07,1769,1.8888096809387207
44,6.612635892189189e-07,1788,1.9153387546539307
45,6.540531773957525e-07,1833,2.0038459300994873
46,6.436500833428838e-07,1771,3.8112313747406006
47,6.386420121629044e-07,1753,2.185230255126953
48,6.435675898863735e-07,1684,1.9616944789886475
49,6.270463857038777e-07,1785,2.0800387859344482
50,6.322804946279348e-07,1635,1.8767993450164795
