K,MSE,ITERATIONS,EXECUTION TIME
2,1.8743107764729317e-06,664,1.7676770687103271
3,1.624146155232431e-06,1778,2.8598203659057617
4,1.4783155641850954e-06,1657,2.6780033111572266
5,1.3591478198460294e-06,1811,2.7618393898010254
6,1.267638936930382e-06,1849,2.9932498931884766
7,1.1968588944366587e-06,1794,3.1267623901367188
8,1.13439886972877e-06,1704,3.2870442867279053
9,1.0907917719071847e-06,1774,3.6557488441467285
10,1.0492201709677573e-06,1703,4.047334432601929
11,1.0107729734309956e-06,1720,4.267316579818726
12,9.884705327589671e-07,1864,4.4746253490448
13,9.64331451136502e-07,1678,4.660351991653442
14,9.414523908235495e-07,1684,4.9801976680755615
15,9.226899183589765e-07,1648,5.247037410736084
16,9.003791988648757e-07,1597,5.464914798736572
17,8.831266554709671e-07,1598,5.638739824295044
18,8.662539856540974e-07,1612,6.212109327316284
19,8.510446394272009e-07,1557,6.505067586898804
20,8.403642987042659e-07,1489,6.85292649269104
21,8.252009339182464e-07,1556,7.147220849990845
22,8.077519522142751e-07,1495,6.998396158218384
23,7.911807118343717e-07,1500,7.2282655239105225
24,7.916638420368827e-07,1388,7.32628607749939
25,7.744073101667581e-07,1499,8.089463472366333
26,7.615959970452835e-07,1421,8.258146524429321
27,7.484726575190948e-07,1370,8.54391860961914
28,7.380756786856679e-07,1404,8.54485034942627
29,7.345231597399859e-07,1373,8.831536531448364
30,7.1741390483826e-07,1350,9.045907735824585
31,7.145498577276754e-07,1300,9.270175695419312
32,7.043654044469605e-07,1300,9.527321338653564
33,6.949858372129469e-07,1330,9.860493421554565
34,6.881130344416064e-07,1342,10.123446226119995
35,6.779414108981641e-07,1247,10.301047563552856
36,6.72429739334568e-07,1318,10.602497816085815
37,6.597114999840059e-07,1271,10.907592296600342
38,6.545871352736654e-07,1303,11.180575370788574
39,6.493447315403245e-07,1202,11.396053075790405
40,6.390161653158088e-07,1280,11.724054336547852
41,6.271121169021399e-07,1202,11.964142084121704
42,6.287636381552275e-07,1223,12.296243667602539
43,6.250317143852158e-07,1181,12.545678615570068
44,6.148583995280177e-07,1237,12.759319543838501
45,6.015490150446112e-07,1176,13.044331073760986
46,6.022093679280971e-07,1143,13.38051152229309
47,5.91203492938952e-07,1126,13.613621711730957
48,5.973068801790049e-07,1230,13.935692071914673
49,5.871987671657308e-07,1183,14.493799448013306
50,5.773150232313284e-07,1165,14.553428888320923
