K,MSE,ITERATIONS,EXECUTION TIME
2,1.8743107764729317e-06,663,0.9398908615112305
3,1.6241454461329852e-06,1750,1.7952241897583008
4,1.4783155641850954e-06,1702,1.2766392230987549
5,1.3593852487003844e-06,2025,1.3246808052062988
6,1.2678500875829002e-06,1988,1.2837178707122803
7,1.198136759916757e-06,2039,1.3771710395812988
8,1.1340139929316706e-06,2035,1.3901753425598145
9,1.090667604008999e-06,2119,1.4647319316864014
10,1.0490470020441123e-06,2194,1.517702341079712
11,1.010443058113708e-06,2050,1.510741949081421
12,9.862511223257542e-07,1880,1.4459030628204346
13,9.653224040118147e-07,1867,1.50612211227417
14,9.473853840313851e-07,2014,1.623161792755127
15,9.218227343676944e-07,1860,1.5608344078063965
16,9.084263337122422e-07,1766,1.5663058757781982
17,8.874119982182904e-07,1775,1.6021194458007812
18,8.756883290716999e-07,1657,1.556668758392334
19,8.55645671760108e-07,1767,1.673685073852539
20,8.461139550108854e-07,1619,1.608168363571167
21,8.332123602183827e-07,1670,1.6538734436035156
22,8.100232661290008e-07,1623,1.6607882976531982
23,8.065760589426318e-07,1729,1.7857308387756348
24,7.826733181559575e-07,1548,1.6736540794372559
25,7.772553940466054e-07,1524,1.7336781024932861
26,7.70285256579406e-07,1546,1.7862045764923096
27,7.587082327953354e-07,1544,1.810650110244751
28,7.474545999919258e-07,1497,1.7881743907928467
29,7.405125002080126e-07,1478,1.8637275695800781
30,7.24847676658591e-07,1462,1.8776895999908447
31,7.144205556031125e-07,1453,1.9086973667144775
32,7.130891700457553e-07,1397,1.8534061908721924
33,7.071322389862189e-07,1411,1.8972816467285156
34,6.944606074643644e-07,1359,1.8926751613616943
35,6.887197109284315e-07,1477,2.0276927947998047
36,6.732154963495773e-07,1345,1.9436736106872559
37,6.857440768559542e-07,1313,1.9691927433013916
38,6.673296544246199e-07,1333,2.004714012145996
39,6.582582584568897e-07,1289,2.055203914642334
40,6.444507317793224e-07,1265,2.0500402450561523
41,6.459277038795008e-07,1302,2.119666576385498
42,6.469287251453792e-07,1323,2.1631767749786377
43,6.356139996555044e-07,1290,2.178663969039917
44,6.381511825637176e-07,1282,2.208491086959839
45,6.238471702557646e-07,1243,2.206242322921753
46,6.208905112270457e-07,1214,2.203803777694702
47,6.091144577613505e-07,1176,2.1993560791015625
48,6.083445732718573e-07,1158,2.183687210083008
49,6.18439346400379e-07,1191,2.2803430557250977
50,5.817634531890548e-07,1164,2.271516799926758
