K,MSE,ITERATIONS,EXECUTION TIME
2,120.98696663450123,1630,0.8512885570526123
3,95.29975517897122,2438,0.788515567779541
4,79.39668224816944,2685,0.8006527423858643
5,71.31291014408438,2597,0.7680518627166748
6,67.51190120670566,2386,0.7321913242340088
7,64.57393743060857,2405,0.766268253326416
8,62.3571607926407,2250,0.7250692844390869
9,60.51855593079612,2061,0.7097988128662109
10,58.85835987470702,1820,0.6743438243865967
11,57.360986100997714,1596,0.6167895793914795
12,55.93385455448622,1494,0.6201989650726318
13,54.78507388610432,1408,0.6202445030212402
14,53.71058648280637,1185,0.576336145401001
15,52.66378197290113,1130,0.5485939979553223
16,51.62760465866536,1099,0.5663325786590576
17,50.633009693163885,1027,0.550206184387207
18,49.74827668586647,1007,0.5592567920684814
19,48.90630492150061,993,0.573906421661377
20,48.0750797364438,959,0.6095778942108154
21,47.32218816411368,948,0.5844388008117676
22,46.64718597385233,908,0.5817677974700928
23,45.996079887008094,887,0.6000914573669434
24,45.3575346487158,854,0.6189701557159424
25,44.744570952407415,854,0.6173768043518066
26,44.145244476442045,826,0.636115312576294
27,43.58554433911139,847,0.6441328525543213
28,43.04092498573122,797,0.6580638885498047
29,42.498467659425614,770,0.6327238082885742
30,41.96934699953471,699,0.6338198184967041
31,41.49264714535508,673,0.6115217208862305
32,41.03129610747287,667,0.6215577125549316
33,40.57913161597935,649,0.6255433559417725
34,40.13147765151385,638,0.6250576972961426
35,39.68769762201951,632,0.6493632793426514
36,39.244734762942244,635,0.6715679168701172
37,38.82320356249171,631,0.6702766418457031
38,38.403246068797465,626,0.6807270050048828
39,37.99471373699124,608,0.6698665618896484
40,37.58660314109682,606,0.6983821392059326
41,37.19308178621737,599,0.6999092102050781
42,36.80704094216122,598,0.7098076343536377
43,36.43130781475588,596,0.7152273654937744
44,36.06351673863137,594,0.7332274913787842
45,35.70791363874938,566,0.72538161277771
46,35.35853493661127,563,0.797858476638794
47,35.02675464932181,558,0.744898796081543
48,34.66102362217757,548,0.797086238861084
49,34.340577903174704,541,0.7858953475952148
50,34.02324842637326,538,0.7862884998321533
