K,MSE,ITERATIONS,EXECUTION TIME
2,121.00628083404212,438,0.23613882064819336
3,95.29975517897122,531,0.180588960647583
4,79.39668224816944,653,0.2044830322265625
5,71.31291014408438,624,0.18730831146240234
6,67.51190120670566,606,0.2006378173828125
7,64.57393743060857,556,0.18399953842163086
8,62.3571607926407,512,0.18375468254089355
9,60.51855593079612,501,0.1817009449005127
10,58.879398947021954,398,0.16785526275634766
11,57.382025173312655,390,0.16178274154663086
12,55.99039851423763,325,0.15404057502746582
13,54.8453208129653,332,0.1484239101409912
14,53.79791726989538,290,0.14257264137268066
15,52.708566528430566,256,0.1409456729888916
16,51.66176201852532,239,0.1334705352783203
17,50.66716705302384,256,0.13994121551513672
18,49.80744433611291,243,0.14220380783081055
19,48.98920383602174,218,0.1413874626159668
20,48.20851530507933,197,0.12527775764465332
21,47.53136207238695,233,0.15894746780395508
22,46.81796105952634,231,0.15951085090637207
23,46.046421644169214,209,0.1554422378540039
24,45.407876405876934,189,0.1456911563873291
25,44.78369942476113,195,0.1559278964996338
26,44.18179816343452,177,0.15202093124389648
27,43.61335655555794,185,0.15485310554504395
28,43.09222544677739,181,0.15099453926086426
29,42.6246418174659,176,0.16307568550109863
30,42.173344234250905,176,0.16135931015014648
31,41.681077778979365,163,0.1589641571044922
32,41.17634454303357,171,0.1650550365447998
33,40.717195135181754,157,0.1515195369720459
34,40.26112253115244,156,0.1694657802581787
35,39.795905281557104,159,0.16405200958251953
36,39.33998933936384,151,0.1676793098449707
37,38.89550820069725,146,0.17382478713989258
38,38.473977000246734,140,0.16788125038146973
39,38.03932411291311,148,0.17502093315124512
40,37.64589278798251,145,0.17394065856933594
41,37.27015966057718,133,0.1663818359375
42,36.91455656069519,150,0.18925929069519043
43,36.56517785855708,130,0.17345404624938965
44,36.19615822165575,137,0.17929649353027344
45,35.8504043467257,137,0.18318891525268555
46,35.534414552724755,121,0.1792290210723877
47,35.230931667172044,141,0.18666672706604004
48,34.91092289722317,134,0.19937610626220703
49,34.59047717822031,123,0.18322324752807617
50,34.28921081121419,138,0.20442819595336914
