K,MSE,ITERATIONS,EXECUTION TIME
2,121.00628083404212,450,0.2582051753997803
3,95.29975517897122,578,0.2206735610961914
4,79.39668224816944,651,0.22385430335998535
5,71.31291014408438,667,0.21749186515808105
6,67.51190120670566,632,0.22443103790283203
7,64.57393743060857,548,0.204575777053833
8,62.36764913742895,576,0.2202308177947998
9,60.52904427558437,501,0.20205974578857422
10,58.90601341146618,398,0.18487215042114258
11,57.40863963775688,427,0.19961166381835938
12,55.99022309687325,335,0.1636497974395752
13,54.841442428491355,345,0.17629337310791016
14,53.79463791858611,300,0.17333769798278809
15,52.73506711356985,306,0.17663836479187012
16,51.74047214806836,270,0.16409730911254883
17,50.88217082946581,241,0.1587672233581543
18,50.026427363909534,230,0.16878652572631836
19,49.20818686381837,213,0.18098139762878418
20,48.22764125982819,219,0.1748793125152588
21,47.48163304749869,213,0.16673636436462402
22,46.75175143976841,213,0.15865707397460938
23,46.067016955663334,183,0.16642212867736816
24,45.468818661446285,180,0.16411638259887695
25,44.830273423154004,189,0.1691575050354004
26,44.23094694718864,200,0.174912691116333
27,43.64609454693671,194,0.17865800857543945
28,43.14057011992175,192,0.1812441349029541
29,42.63766077317449,164,0.1653728485107422
30,42.15449806147115,179,0.16652441024780273
31,41.694464591313846,162,0.1872081756591797
32,41.130561077375454,157,0.17967677116394043
33,40.658014919465685,162,0.18342971801757812
34,40.19251018531362,170,0.1913461685180664
35,39.747450579146374,148,0.18466949462890625
36,39.28995370581856,161,0.1979069709777832
37,38.844956935755675,147,0.19257378578186035
38,38.42342573530516,141,0.18320608139038086
39,38.0299043804257,139,0.19382905960083008
40,37.62070812492787,137,0.19727540016174316
41,37.22491963091696,151,0.1999828815460205
42,36.849186503511625,160,0.21709513664245605
43,36.45662450097424,142,0.20825958251953125
44,36.107245798836146,141,0.20048236846923828
45,35.77514697182856,152,0.21662497520446777
46,35.44889158312053,138,0.2161242961883545
47,35.133252587988764,134,0.20843887329101562
48,34.82067269434788,129,0.22526955604553223
49,34.5097609324872,138,0.24347424507141113
50,34.2054204358817,137,0.2248375415802002
