K,MSE,ITERATIONS,EXECUTION TIME
2,120.98861074033056,637,0.20822930335998535
3,95.29975517897122,661,0.19541072845458984
4,79.39668224816944,683,0.19959521293640137
5,71.31291014408438,768,0.22028756141662598
6,67.51039812546934,871,0.26021838188171387
7,64.57393743060857,947,0.2934989929199219
8,62.38514372991554,993,0.32633256912231445
9,60.556380204956355,982,0.33287930488586426
10,58.86939687137195,1091,0.3721017837524414
11,57.461128901354336,1049,0.3665502071380615
12,56.527080541554525,1081,0.3866913318634033
13,55.72293804736781,1095,0.39637041091918945
14,54.777766164537184,1119,0.4155111312866211
15,53.27147355138439,1157,0.4559440612792969
16,52.43798882554356,1089,0.42844676971435547
17,51.69027355349656,1098,0.4471137523651123
18,50.68198744941559,1099,0.46752262115478516
19,50.0128537220909,1143,0.49483227729797363
20,49.48369800942315,1091,0.4957907199859619
21,48.93618757377965,1101,0.513322114944458
22,47.80555122628395,1106,0.5179622173309326
23,47.90519874175949,1060,0.516188383102417
24,46.84744115661054,1101,0.5630180835723877
25,46.53764895081219,1112,0.5716912746429443
26,45.572471640533486,1029,0.5423219203948975
27,45.31871913055251,1098,0.5857582092285156
28,45.15799964874299,1093,0.5949571132659912
29,44.36416193207002,1016,0.5654635429382324
30,44.16652097002266,1043,0.629711389541626
31,43.64079783282469,1110,0.6652846336364746
32,43.0636881316921,1070,0.6611466407775879
33,43.025291974586416,1026,0.6543333530426025
34,42.063284400079645,980,0.6168704032897949
35,41.199710852815606,1046,0.6393914222717285
36,41.61657764389736,970,0.6161623001098633
