K,MSE,ITERATIONS,EXECUTION TIME
2,120.98696663450123,462,0.4991002082824707
3,95.29975517897122,506,0.6371724605560303
4,79.39668224816944,531,0.7508330345153809
5,71.31291014408438,606,0.8799090385437012
6,67.51190120670566,747,1.1317026615142822
7,64.58073000671158,801,1.22898268699646
8,62.494405117944815,786,1.3277242183685303
9,60.5301972215962,842,1.6659519672393799
10,58.909787698076286,882,1.8409912586212158
11,57.91295518515453,877,1.886603832244873
12,55.98994732052306,862,1.9270622730255127
13,55.30180817911244,923,2.1057703495025635
14,53.819480088793625,906,2.128852605819702
15,53.22417432629106,853,2.3318357467651367
16,52.38203901632659,931,2.4490163326263428
17,51.72563234897225,894,2.6551427841186523
18,50.832501443196925,895,2.806938886642456
19,49.62864591620609,914,2.8969786167144775
20,49.18755127760045,875,3.057793617248535
21,48.437969631378365,861,3.173781633377075
22,48.06884740211559,871,3.342508316040039
23,47.47965023607263,830,3.4016575813293457
24,46.90721653933865,880,3.6496422290802
25,46.13535556903375,853,3.7276833057403564
26,46.07853037043288,894,3.9328248500823975
27,44.94026232515339,820,4.001742362976074
28,44.782152110163096,797,4.101797342300415
29,43.99167073047874,775,4.227079153060913
30,43.48777671683284,770,4.365929126739502
31,43.44279590367175,804,4.575045585632324
32,42.819233155919164,732,4.638550758361816
33,41.82915472705518,745,4.786728382110596
34,41.84388704538584,754,4.962547302246094
35,40.96062793852214,773,5.1510796546936035
36,40.863629152055935,750,5.256200551986694
37,40.40748961900371,736,5.448789358139038
38,39.81145862926261,735,5.5741095542907715
39,39.68938275704284,747,5.7642645835876465
40,39.62480182435562,707,5.912447690963745
41,38.941880635215966,690,6.3220789432525635
42,38.781401148512,704,6.7352917194366455
43,38.085139345736145,667,6.51741623878479
44,37.39993700337929,675,6.739965438842773
45,37.496449002777666,675,7.1198813915252686
46,37.50391704273292,648,7.069406509399414
47,36.808932677893594,678,7.147467374801636
48,36.68391807326529,673,7.645430326461792
49,35.928139202254656,639,7.40538215637207
50,35.85916026338889,656,7.512989282608032
