K,MSE,ITERATIONS,EXECUTION TIME
2,120.98696663450123,476,0.22506308555603027
3,95.29975517897122,556,0.21400237083435059
4,79.39668224816944,576,0.22720623016357422
5,71.31291014408438,682,0.25603318214416504
6,67.51190120670566,739,0.30147719383239746
7,64.57393743060857,812,0.33839988708496094
8,62.39160231047006,839,0.3597280979156494
9,60.573161226728686,861,0.3826580047607422
10,58.935498975574774,943,0.43351221084594727
11,57.60869109216033,848,0.4242677688598633
12,56.11543922337111,914,0.4564025402069092
13,55.19411436166665,908,0.47997236251831055
14,53.94294550297799,927,0.5101134777069092
15,53.4835808916345,966,0.5747742652893066
16,53.04548238550716,961,0.5569477081298828
17,51.32064015257855,911,0.5673174858093262
18,51.17026627422289,946,0.610114336013794
19,50.597118139914286,874,0.6048953533172607
20,49.62626160865699,898,0.630286693572998
21,48.655184580757876,916,0.6697018146514893
22,48.22933030400519,898,0.6902222633361816
23,47.30384309737218,898,0.7080049514770508
24,47.26293939143078,904,0.7246053218841553
25,45.86768261930416,880,0.7398309707641602
26,46.18135175946354,831,0.7574498653411865
27,45.42754045180486,855,0.7851204872131348
28,45.17970856455938,818,0.7904276847839355
29,44.08456981258277,821,0.8076910972595215
30,44.019450656890236,838,0.8319048881530762
31,43.17201031683083,817,0.854938268661499
32,43.18735835466053,788,0.8505933284759521
33,42.033380424903584,807,0.8793327808380127
34,42.63967202975208,809,0.9057714939117432
35,41.28303915203678,783,0.9189286231994629
36,41.27522939606282,731,0.9143795967102051
37,40.71185798947994,807,0.9856517314910889
38,40.648732998959936,807,1.006335735321045
39,40.23456638376565,734,0.9735989570617676
40,39.657919180759066,730,1.0001356601715088
41,39.313310794548784,715,0.9999244213104248
42,39.00024237155292,676,0.9952528476715088
43,38.73649013183221,693,1.0322370529174805
44,38.52536215525485,704,1.0627808570861816
45,38.06513663415265,685,1.074655532836914
46,37.561262804342306,703,1.1201605796813965
47,37.28148206485122,688,1.1424283981323242
48,37.27980641292711,691,1.150010108947754
49,36.60104545874229,655,1.1378521919250488
50,36.4756934931204,687,1.1700189113616943
