K,MSE,ITERATIONS,EXECUTION TIME
2,281.3899368994733,392,0.28797411918640137
3,258.122267773984,398,0.17038965225219727
4,246.25781611333275,276,0.13712573051452637
5,239.2346530598376,206,0.10386204719543457
6,234.15589874090753,176,0.10088348388671875
7,232.71247018439794,133,0.09300422668457031
8,229.5832328952987,156,0.10063910484313965
9,228.3452138882135,118,0.0996403694152832
10,226.3818152278873,126,0.09159660339355469
11,225.09143800285096,112,0.10307502746582031
12,223.78277653228338,118,0.09995746612548828
13,222.09096922132835,119,0.10131168365478516
14,220.92405043834475,114,0.10963869094848633
15,219.57286532795172,112,0.11555171012878418
16,218.44156536740851,105,0.11039209365844727
17,217.33401763932537,106,0.1161491870880127
18,216.15928476659096,114,0.12217307090759277
19,215.05067461330492,108,0.11698389053344727
20,214.0100029231363,109,0.12532734870910645
21,212.91686851986404,105,0.12208676338195801
22,211.21452129159846,115,0.12859463691711426
23,210.14644759612702,114,0.13226652145385742
24,209.13400026354498,105,0.14165282249450684
25,208.14560255549864,105,0.13533449172973633
26,207.02933922128543,107,0.14676642417907715
27,206.0329646575439,108,0.13465118408203125
28,205.03887254900516,103,0.1522841453552246
29,204.08119667426024,103,0.14773178100585938
30,203.16643647366726,105,0.1497054100036621
31,202.24418690500116,103,0.15883564949035645
32,201.28598308003055,108,0.15816807746887207
33,200.09134788564978,127,0.17415785789489746
34,199.08653614599643,116,0.1693706512451172
35,198.16272012694307,110,0.1646580696105957
36,197.2843209221852,102,0.15858149528503418
37,196.40826385035746,102,0.17461299896240234
38,195.5160598124973,102,0.16702771186828613
39,194.63181415915219,103,0.179368257522583
40,193.7563657032105,101,0.17010998725891113
41,192.8911068788978,104,0.1826152801513672
42,192.03884892837195,102,0.16957998275756836
43,191.16784414733965,103,0.18869924545288086
44,190.2999008609997,107,0.20032095909118652
45,189.44637312004227,105,0.19190096855163574
46,188.59452251698596,108,0.20179510116577148
47,187.74255776691268,103,0.19016242027282715
48,186.90051420853084,102,0.19421815872192383
49,186.05952775185494,102,0.19904470443725586
50,185.22254324887325,104,0.1995534896850586
