K,MSE,ITERATIONS,EXECUTION TIME
2,360.84036332204374,378,0.6634442806243896
3,359.0919879068899,374,0.6690027713775635
4,357.34466697324746,372,0.5243315696716309
5,355.7607431560623,370,0.567986011505127
6,354.2511851149508,368,0.38669729232788086
7,353.2451989403989,366,0.3939540386199951
8,352.23941428469334,365,0.3990442752838135
9,351.234080427456,364,0.4029977321624756
10,350.2287664474738,363,0.4082224369049072
11,349.22347604387926,362,0.41646885871887207
12,348.2182436089365,361,0.42395853996276855
13,347.2129859564832,360,0.43232035636901855
14,346.20773230440295,359,0.4372279644012451
15,345.2024666011929,358,0.45035457611083984
16,344.19727794346176,357,0.46138787269592285
17,343.1921559161604,356,0.46765923500061035
18,342.187123048685,355,0.4671914577484131
19,341.182031273519,354,0.4726674556732178
20,340.1769414395974,353,0.48880529403686523
21,339.17184103201134,352,0.5112109184265137
22,338.16673806059094,351,0.5174260139465332
23,337.16162109670836,350,0.5204870700836182
24,336.15648824244,349,0.541450023651123
25,335.1511938643741,348,0.5453956127166748
26,334.14602655464313,347,0.5354888439178467
27,333.1409009320606,346,0.538776159286499
28,332.13576482952806,345,0.5624806880950928
29,331.13055634544423,344,0.5590431690216064
30,330.1253534324754,343,0.5588314533233643
31,329.1201270790197,342,0.5898644924163818
32,328.11489082990437,341,0.7425761222839355
33,327.1096573994857,340,0.6487812995910645
34,326.10444067263586,339,0.7019615173339844
35,325.099220553849,338,0.729778528213501
36,324.0940175457681,337,0.7173657417297363
37,323.0888128927404,336,0.7569067478179932
38,322.08364273020493,335,0.7897038459777832
39,321.0784879839854,334,0.8113162517547607
40,320.073361217083,333,0.76531982421875
41,319.06823665835554,332,0.7094705104827881
42,318.0629307440511,331,0.7113833427429199
43,317.05784347822885,330,0.6993527412414551
44,316.0528358262743,329,0.7081873416900635
45,315.0478535602767,328,0.719099760055542
46,314.04287991329494,327,0.7307891845703125
47,313.03782884425914,326,0.8169727325439453
48,312.0328930464864,325,0.7412862777709961
49,311.0279525907847,324,0.6723439693450928
50,310.0229975086355,323,0.7367172241210938
