K,MSE,ITERATIONS,EXECUTION TIME
2,361.6591512071805,100,0.17978239059448242
3,360.0745337729495,102,0.18642163276672363
4,358.32711898765683,102,0.1791858673095703
5,356.5787616727752,102,0.14740967750549316
6,355.06887024487435,103,0.15534162521362305
7,354.0638006036338,100,0.11118721961975098
8,353.058631000248,100,0.10922956466674805
9,352.053213195605,100,0.11391329765319824
10,350.5628209125245,101,0.11514711380004883
11,349.23772556423893,102,0.12229490280151367
12,348.23274458851125,100,0.12048554420471191
13,347.2273264041431,100,0.12436556816101074
14,346.22193722049815,100,0.12360095977783203
15,345.2171384820057,100,0.1404561996459961
16,344.21113828428986,100,0.1271800994873047
17,343.2058530790711,100,0.13153600692749023
18,342.200513631591,100,0.13299036026000977
19,341.1955149708212,100,0.13228273391723633
20,340.190420311963,100,0.13764357566833496
21,339.1853592958846,100,0.14224553108215332
22,338.1803538396256,100,0.1446843147277832
23,337.1751795165229,100,0.15357518196105957
24,336.17020223422,100,0.15755486488342285
25,335.16485467966163,100,0.15804600715637207
26,334.1596856372181,100,0.15078139305114746
27,333.1548690741681,100,0.15530967712402344
28,332.14960972971545,100,0.15547752380371094
29,331.14446883691267,100,0.16135025024414062
30,330.13938631366034,100,0.15972232818603516
31,329.1345584449821,100,0.16576743125915527
32,328.1294500282114,100,0.17421650886535645
33,327.1239928596722,100,0.17481184005737305
34,326.1193477669092,100,0.17652511596679688
35,325.11375992244103,100,0.18299627304077148
36,324.1086321324922,100,0.18447327613830566
37,323.10304955406843,100,0.18206286430358887
38,322.0975712220564,100,0.19396471977233887
39,321.0925505009528,100,0.1885378360748291
40,320.08789823597976,100,0.1917572021484375
41,319.08251674531965,100,0.18996500968933105
42,318.07813424518025,100,0.19588351249694824
43,317.0727178365307,100,0.2012338638305664
44,316.06741743806765,100,0.203460693359375
45,315.06217540140665,100,0.20559072494506836
46,314.0571463941917,100,0.20856046676635742
47,313.05220780615457,100,0.2035982608795166
48,312.04730126167385,100,0.20586419105529785
49,311.0424199630585,100,0.22001981735229492
50,310.03757073966096,100,0.21483874320983887
