K,MSE,ITERATIONS,EXECUTION TIME
2,8.861337631227428e-06,1820,0.9136295318603516
3,7.020145128988631e-06,1905,0.692579984664917
4,6.466151625694749e-06,2029,0.6370773315429688
5,6.106843138731222e-06,2056,0.6456358432769775
6,5.909979985840863e-06,1700,0.5741050243377686
7,5.734243874844225e-06,1386,0.5036098957061768
8,5.628942280289095e-06,1222,0.4720900058746338
9,5.518064194354189e-06,1170,0.47859668731689453
10,5.424074559834402e-06,1106,0.47960782051086426
11,5.3345187167597174e-06,1014,0.462604284286499
12,5.250010698509833e-06,1005,0.4780862331390381
13,5.18227006074401e-06,830,0.44158196449279785
14,5.117006940391633e-06,693,0.41105222702026367
15,5.056824091020928e-06,674,0.42891907691955566
16,4.999227793622829e-06,658,0.41667771339416504
17,4.944477140722547e-06,646,0.4180774688720703
18,4.893550675122427e-06,628,0.42905259132385254
19,4.843468244586369e-06,626,0.43607091903686523
20,4.7943610351763866e-06,603,0.4345531463623047
21,4.74931506289078e-06,601,0.44898056983947754
22,4.706470596804735e-06,591,0.45763063430786133
23,4.664819606925441e-06,581,0.46369338035583496
24,4.623366534839413e-06,572,0.4765584468841553
25,4.587006010692285e-06,551,0.4732975959777832
26,4.552449775707679e-06,538,0.47555041313171387
27,4.517973682505172e-06,527,0.4859745502471924
28,4.484769071222416e-06,523,0.49355125427246094
29,4.452112660979779e-06,509,0.49755263328552246
30,4.4198930133632075e-06,507,0.5151772499084473
31,4.387845747522157e-06,506,0.5210273265838623
32,4.358887820909985e-06,488,0.5225429534912109
33,4.3302301530045995e-06,487,0.5285468101501465
34,4.301991794464222e-06,486,0.545058012008667
35,4.273792715614455e-06,483,0.550565242767334
36,4.245784819056908e-06,464,0.5450727939605713
37,4.216612440099965e-06,461,0.5545811653137207
38,4.1850770448048635e-06,465,0.579075813293457
39,4.157492097811577e-06,458,0.5740702152252197
40,4.12706113439576e-06,458,0.594071626663208
41,4.099746384378378e-06,462,0.606071949005127
42,4.069893414726522e-06,463,0.627110481262207
43,4.043393005526141e-06,460,0.6281473636627197
44,4.017153475088797e-06,456,0.6286454200744629
45,3.990949142052003e-06,454,0.6381268501281738
46,3.965037729702914e-06,452,0.649090051651001
47,3.939506185601793e-06,451,0.6534445285797119
48,3.913094090202129e-06,443,0.6545581817626953
49,3.887800259949614e-06,441,0.6640501022338867
50,3.8559563825257825e-06,442,0.6711676120758057
