K,MSE,ITERATIONS,EXECUTION TIME
2,8.861337631227428e-06,465,0.26438379287719727
3,7.020145128988631e-06,494,0.1995527744293213
4,6.466151625694749e-06,560,0.20192885398864746
5,6.106843138731222e-06,467,0.17622995376586914
6,5.9113035490998556e-06,482,0.18402791023254395
7,5.735567438103217e-06,304,0.13731718063354492
8,5.628942280289095e-06,264,0.1298542022705078
9,5.538162769491706e-06,245,0.13151979446411133
10,5.427284683556799e-06,253,0.13651347160339355
11,5.352811281889025e-06,222,0.12902212142944336
12,5.275175106622676e-06,244,0.13828706741333008
13,5.207066712253905e-06,242,0.14011836051940918
14,5.1464220105490455e-06,184,0.12601685523986816
15,5.080171950111456e-06,172,0.12851715087890625
16,5.028736915768661e-06,153,0.12452125549316406
17,4.979683116967948e-06,149,0.12551641464233398
18,4.926256028325859e-06,162,0.13101792335510254
19,4.8748581296109705e-06,153,0.13151288032531738
20,4.8257509202009885e-06,157,0.13651609420776367
21,4.779321212233789e-06,153,0.14101696014404297
22,4.7381446440786235e-06,138,0.14151883125305176
23,4.694651550507523e-06,144,0.1409587860107422
24,4.652215001565985e-06,140,0.14428281784057617
25,4.61445785260306e-06,129,0.1414203643798828
26,4.569690859379527e-06,143,0.1530776023864746
27,4.5304910543109145e-06,135,0.15101051330566406
28,4.4966415241320945e-06,140,0.1585090160369873
29,4.460141817097529e-06,136,0.15402007102966309
30,4.427257096151216e-06,123,0.1555166244506836
31,4.394575056854144e-06,132,0.16320323944091797
32,4.362007343883256e-06,131,0.1650240421295166
33,4.330929197382538e-06,127,0.1670372486114502
34,4.301870359602056e-06,125,0.1670231819152832
35,4.271849245562898e-06,124,0.17102408409118652
36,4.239651948734213e-06,121,0.16850852966308594
37,4.210775216395568e-06,116,0.16602087020874023
38,4.181942271364036e-06,123,0.1730177402496338
39,4.153284603458651e-06,118,0.1695115566253662
40,4.121260470335564e-06,121,0.18702483177185059
41,4.092419234047462e-06,131,0.1908588409423828
42,4.0641879847092e-06,116,0.1840226650238037
43,4.037948454271856e-06,123,0.18702435493469238
44,4.009710095731478e-06,124,0.1910254955291748
45,3.9832973925957305e-06,119,0.19602513313293457
46,3.956780435299123e-06,121,0.20302438735961914
47,3.930857990108727e-06,123,0.20404744148254395
48,3.905228287082174e-06,122,0.2060227394104004
49,3.879939004747257e-06,113,0.1977231502532959
50,3.854645174494742e-06,119,0.19901704788208008
