K,MSE,ITERATIONS,EXECUTION TIME
2,65.37016294132184,319,0.4247288703918457
3,53.14063922384187,466,0.5700323581695557
4,49.1983465464056,598,0.715294361114502
5,46.670621540065255,676,0.8647012710571289
6,45.27699888898793,752,0.9852869510650635
7,43.97160936592262,761,1.1147842407226562
8,43.05605887026424,847,1.2848613262176514
9,42.42309021333094,836,1.4001014232635498
10,41.82587629744384,809,1.5292320251464844
11,41.12357816045269,864,1.6706609725952148
12,40.54557382369647,821,1.7701373100280762
13,40.17383625786226,806,1.953852891921997
14,39.683737996255836,825,2.0993447303771973
15,39.45167873945131,820,2.241821765899658
16,38.98324572055702,879,2.4073009490966797
17,38.50992138678284,772,2.512493371963501
18,37.96051488626245,815,2.700636625289917
19,37.89620637593263,829,2.975285291671753
20,37.63718505958826,836,3.057985544204712
21,37.14062319904025,770,3.0679891109466553
22,36.80135995378514,748,3.2080841064453125
23,36.528176576292736,759,3.3835995197296143
24,36.287759931940165,721,3.4948904514312744
25,36.04281779092522,743,3.615701198577881
26,35.60837578165651,718,3.7050275802612305
27,35.44344853067486,734,3.9404234886169434
28,34.98647903233689,723,4.0356950759887695
29,34.87544489765358,719,4.141963243484497
30,34.509415333975866,672,4.239551782608032
31,34.37674825403988,710,4.354681968688965
32,34.135684998030406,628,4.717676162719727
33,33.90728788716852,688,5.208622932434082
34,33.54040598300412,648,5.562299489974976
35,33.366954982377926,638,5.286199569702148
36,33.11119613523309,658,5.588197231292725
37,32.75709301285767,635,5.5013227462768555
38,32.27295010491005,640,5.8816304206848145
39,32.205717565642,623,6.160099983215332
40,32.22146907371169,599,6.315459489822388
41,32.05288414291794,632,6.311026096343994
42,31.789923932406047,597,6.621678352355957
43,31.731106329512315,604,6.344452142715454
44,31.34527661084727,582,6.429245710372925
45,30.979790584758796,545,6.537143230438232
46,31.036019432234838,593,6.762033462524414
47,30.928997412220916,561,6.757426738739014
48,30.347522312758944,559,6.899998426437378
49,30.44901924959465,571,7.045583248138428
50,30.282979662275984,517,7.112780570983887
