K,MSE,ITERATIONS,EXECUTION TIME
2,8.861337631227428e-06,447,0.19202423095703125
3,7.020145128988631e-06,458,0.19401240348815918
4,6.466151625694749e-06,632,0.2490246295928955
5,6.106843138731222e-06,669,0.2695329189300537
6,5.909155298300384e-06,822,0.3205282688140869
7,5.7342436878826675e-06,783,0.3215317726135254
8,5.6069442041506434e-06,883,0.3710463047027588
9,5.5074142848443586e-06,860,0.39505934715270996
10,5.443947949990147e-06,855,0.4040336608886719
11,5.325311068893335e-06,892,0.44554567337036133
12,5.257056923779757e-06,885,0.4570777416229248
13,5.1947685942854704e-06,819,0.47159481048583984
14,5.128163491185944e-06,868,0.5045945644378662
15,5.082249605936617e-06,808,0.5096008777618408
16,5.010683009287753e-06,864,0.5406002998352051
17,4.980268909937635e-06,934,0.584099531173706
18,4.938929209719056e-06,861,0.5843601226806641
19,4.871983958709691e-06,796,0.5790541172027588
20,4.848355513398239e-06,802,0.600430965423584
21,4.779039606606084e-06,748,0.6110241413116455
22,4.75601771210421e-06,768,0.6380593776702881
23,4.682437349634583e-06,765,0.6615691184997559
24,4.6887855564836656e-06,762,0.6705682277679443
25,4.632270939275429e-06,738,0.6895694732666016
26,4.596419252544948e-06,777,0.7125670909881592
27,4.5634541353534175e-06,730,0.7265777587890625
28,4.52785266846778e-06,735,0.7591292858123779
29,4.4606896811849595e-06,749,0.7801480293273926
30,4.461761409557674e-06,740,0.801140308380127
31,4.4161595404990095e-06,693,0.8091640472412109
32,4.36811231563361e-06,664,0.7981319427490234
33,4.381923164098467e-06,708,0.8220696449279785
34,4.333991384997127e-06,689,0.8260676860809326
35,4.29846820737545e-06,691,0.8455703258514404
36,4.266740589842222e-06,681,0.8680696487426758
37,4.193554332010407e-06,646,0.887324333190918
38,4.22333938898678e-06,654,0.8985810279846191
39,4.185979422310915e-06,618,0.9025764465332031
40,4.1394026075725066e-06,625,0.9411530494689941
41,4.130410760194714e-06,618,0.9552395343780518
42,4.107385955465226e-06,611,0.9712014198303223
43,4.069554338514969e-06,589,0.988166093826294
44,4.05440856066086e-06,653,1.053098201751709
45,4.026208930807407e-06,583,1.0000951290130615
46,4.012561045763086e-06,585,1.0386159420013428
47,3.9606868771357995e-06,585,1.0359210968017578
48,3.960121513713055e-06,563,1.040497064590454
49,3.932520385774296e-06,556,1.04960036277771
50,3.896437482331372e-06,554,1.0886197090148926
