K,MSE,ITERATIONS,EXECUTION TIME
2,3375.7725106993184,590,0.33431363105773926
3,2582.3556503591567,736,0.26383328437805176
4,2453.425477479689,647,0.229447603225708
5,2334.3557808806254,731,0.24630951881408691
6,2237.6823873430358,595,0.20786118507385254
7,2145.2126860467147,577,0.2602088451385498
8,2056.1388579681734,484,0.19404006004333496
9,1986.5480673403983,422,0.19031524658203125
10,1931.884809777378,358,0.16791868209838867
11,1879.0369725085236,364,0.19382834434509277
12,1827.0352995360518,292,0.17130088806152344
13,1788.5646212596916,256,0.14179325103759766
14,1752.2638389602032,242,0.15958213806152344
15,1720.2501771230309,256,0.17191529273986816
16,1692.1162571941986,236,0.18324542045593262
17,1667.1792370702788,225,0.15753650665283203
18,1642.5377033058485,198,0.1481797695159912
19,1617.9383070551914,203,0.15844106674194336
20,1593.2448941054945,196,0.1460123062133789
21,1569.1021732454853,190,0.154677152633667
22,1547.05927107141,178,0.1466071605682373
23,1528.0795699448277,170,0.15320587158203125
24,1507.263715321588,174,0.15598225593566895
25,1487.0757981297197,186,0.18549203872680664
26,1467.994031652919,163,0.16411232948303223
27,1449.0951771762557,159,0.16859817504882812
28,1430.1951146469428,150,0.15902090072631836
29,1411.411030951746,154,0.16456818580627441
30,1392.833583675218,174,0.1759498119354248
31,1373.9452740386632,169,0.1897265911102295
32,1356.251037668203,169,0.18414902687072754
33,1339.9061297975268,143,0.1762549877166748
34,1324.7730364951362,171,0.20192241668701172
35,1308.2296766530244,143,0.18092751502990723
36,1292.9285172703133,140,0.1883397102355957
37,1277.892977867011,148,0.1945352554321289
38,1263.0796859835154,174,0.20830821990966797
39,1244.8101220425087,159,0.20322203636169434
40,1230.9951804252723,143,0.19152355194091797
41,1216.0142813780947,150,0.20566177368164062
42,1203.0875924886718,156,0.21076393127441406
43,1190.1814949556792,130,0.2011277675628662
44,1176.3098198699918,143,0.20947599411010742
45,1163.573514099036,144,0.21549463272094727
46,1150.835414753074,156,0.2290949821472168
47,1138.1240241917853,141,0.21604490280151367
48,1125.9240216190672,136,0.23295211791992188
49,1114.0646012694688,129,0.22306084632873535
50,1102.527511853391,138,0.21166467666625977
