K,MSE,ITERATIONS,EXECUTION TIME
2,3375.7725106993184,615,0.3845090866088867
3,2582.3556503591567,744,0.31134700775146484
4,2452.801521568655,678,0.2699861526489258
5,2334.3557808806254,752,0.27851247787475586
6,2237.6823873430358,611,0.2692687511444092
7,2145.6157763684632,571,0.23408818244934082
8,2056.7804988903035,474,0.21667194366455078
9,1987.5608589845006,401,0.1947627067565918
10,1932.3810737095137,344,0.18958473205566406
11,1880.3794007370418,333,0.19369888305664062
12,1828.5369784519546,309,0.1820836067199707
13,1790.383910679046,291,0.1851663589477539
14,1758.9732623146929,255,0.1882014274597168
15,1727.499758991798,272,0.17877626419067383
16,1695.6686160122051,211,0.15944123268127441
17,1667.9370797630643,195,0.1666886806488037
18,1642.7576662055894,222,0.17441511154174805
19,1618.1459430853401,193,0.16792726516723633
20,1593.4350300710778,208,0.18840742111206055
21,1569.47415287036,178,0.16585302352905273
22,1544.6811448782787,159,0.17184686660766602
23,1523.8652902550393,169,0.18019700050354004
24,1504.200976426885,173,0.1740412712097168
25,1483.389388688496,202,0.20389533042907715
26,1464.6053049932993,180,0.18656253814697266
27,1446.0859163288696,179,0.20866131782531738
28,1428.391679958409,148,0.1807551383972168
29,1411.5116057178238,150,0.20027685165405273
30,1394.2295316988766,153,0.18241524696350098
31,1377.702821822688,151,0.19769930839538574
32,1360.5761337172876,148,0.19783902168273926
33,1344.2312258466113,140,0.20970511436462402
34,1329.098132544221,144,0.22029995918273926
35,1313.8983533808137,171,0.2602863311767578
36,1297.6815124460554,153,0.2195127010345459
37,1281.1381526039436,135,0.20685839653015137
38,1266.3248607204478,154,0.22338294982910156
39,1251.7974330981808,151,0.22973942756652832
40,1237.3509726006544,153,0.22630047798156738
41,1223.536030983418,152,0.24031281471252441
42,1209.6643558977307,164,0.24043726921081543
43,1196.0748683495538,146,0.23009347915649414
44,1183.363477788265,146,0.23413920402526855
45,1170.2816541072539,138,0.24413561820983887
46,1157.545348336298,152,0.24398040771484375
47,1144.8072489903357,151,0.25122547149658203
48,1132.5909492232647,151,0.26730847358703613
49,1120.7233101738595,152,0.25545501708984375
50,1108.9025767601865,149,0.25373363494873047
