K,MSE,ITERATIONS,EXECUTION TIME
2,216.2240783926298,573,0.31182169914245605
3,181.94575955397931,677,0.24148344993591309
4,166.47124686432034,610,0.18351411819458008
5,157.61988452263398,619,0.21152973175048828
6,152.2084653961914,553,0.18480348587036133
7,146.94205979605238,482,0.17072725296020508
8,143.14561482201205,369,0.14921212196350098
9,140.03200594132034,320,0.13970589637756348
10,136.95705309820522,264,0.11782360076904297
11,134.70839168427244,263,0.12585687637329102
12,132.42627362166206,213,0.12511634826660156
13,130.6727411514433,225,0.12601733207702637
14,128.8604219545038,191,0.11827421188354492
15,127.06926840303207,187,0.12171101570129395
16,125.4568567277828,203,0.13136625289916992
17,123.80472957649411,206,0.14233779907226562
18,122.35169647422475,177,0.12548136711120605
19,120.79253900845637,180,0.13279294967651367
20,119.40177766482995,168,0.13402915000915527
21,118.09618852953491,165,0.1356492042541504
22,116.70259601102961,164,0.13796067237854004
23,115.42086215933573,159,0.13881492614746094
24,114.08865596301645,166,0.15372920036315918
25,112.9047758992232,158,0.14092779159545898
26,111.55211219883087,165,0.16573214530944824
27,110.3691540957699,167,0.15690112113952637
28,109.2046841450246,149,0.15682673454284668
29,108.05773491891004,150,0.15948176383972168
30,106.94365568984,163,0.1635446548461914
31,105.72555952018368,153,0.1685941219329834
32,104.63835271877932,145,0.17612361907958984
33,103.59268231718255,144,0.16989898681640625
34,102.55897852414782,134,0.16449880599975586
35,101.5612022112868,143,0.171220064163208
36,100.65781522664531,136,0.17816758155822754
37,99.59306812061268,131,0.18017315864562988
38,98.69656804812897,146,0.18349266052246094
39,97.68758737883206,137,0.1989271640777588
40,96.82937656882152,126,0.18021607398986816
41,95.98572808252283,138,0.18770432472229004
42,95.18146490226732,128,0.19574666023254395
43,94.39643735443269,130,0.1945030689239502
44,93.59307860240561,125,0.19993233680725098
45,92.84495361357453,120,0.21134424209594727
46,92.04133377979736,130,0.20104694366455078
47,91.31440871547666,133,0.21365737915039062
48,90.62814480616109,121,0.2010352611541748
49,89.98788491394228,108,0.19120049476623535
50,89.26519960456481,127,0.22165989875793457
