K,MSE,ITERATIONS,EXECUTION TIME
2,216.2240783926298,597,0.3296334743499756
3,181.94575955397931,673,0.27527499198913574
4,166.47124686432034,485,0.20758652687072754
5,157.61988452263398,545,0.2125544548034668
6,152.2084653961914,495,0.20388293266296387
7,146.94205979605238,365,0.1911778450012207
8,143.14561482201205,370,0.17864704132080078
9,140.0706619788969,338,0.16318702697753906
10,137.0006270127604,345,0.17020535469055176
11,134.75196559882755,231,0.14658403396606445
12,132.5642693565618,237,0.14963221549987793
13,130.63365727681244,207,0.1328580379486084
14,128.81239685424788,208,0.15013599395751953
15,127.03785777492251,232,0.16164684295654297
16,125.41476040555548,206,0.1538255214691162
17,123.77952081814661,218,0.15336966514587402
18,122.30583551200787,171,0.1469252109527588
19,120.8114038900606,187,0.16570758819580078
20,119.42064254643418,175,0.15036892890930176
21,118.02769054755201,185,0.15755271911621094
22,116.71221667912266,182,0.15914487838745117
23,115.43897393819037,193,0.18640375137329102
24,114.18934541643739,166,0.16353869438171387
25,112.97988429832573,185,0.16676831245422363
26,111.77064642997237,160,0.1823272705078125
27,110.61056398449634,149,0.1572713851928711
28,109.49648475542628,157,0.18743109703063965
29,108.17456553517889,170,0.1942002773284912
30,107.02435956508435,181,0.19474363327026367
31,105.94461158306689,153,0.18327999114990234
32,104.90167069999993,151,0.19793128967285156
33,103.85600029840315,138,0.18062663078308105
34,102.79125319237053,137,0.18561100959777832
35,101.766788827396,141,0.19262433052062988
36,100.8075879389801,155,0.20906352996826172
37,99.74210954648973,145,0.207780122756958
38,98.87137245225597,133,0.19644761085510254
39,97.78859474798293,144,0.2123878002166748
40,96.94340320888688,133,0.20748281478881836
41,96.03872275937434,137,0.20893359184265137
42,95.10713628491084,128,0.21640491485595703
43,94.26348779861215,132,0.21216678619384766
44,93.45922461835664,136,0.2254321575164795
45,92.73035439195895,131,0.21235132217407227
46,92.00080379836186,130,0.2182610034942627
47,91.26730746147555,126,0.22229623794555664
48,90.52465059884469,129,0.23073625564575195
49,89.81496715561687,123,0.2223978042602539
50,89.12870324630131,122,0.2255256175994873
