K,MSE,ITERATIONS,EXECUTION TIME
2,5.4884576445868305e-06,361,0.18307161331176758
3,3.966768122976028e-06,488,0.20302248001098633
4,3.5083272974523183e-06,618,0.24802422523498535
5,3.2308717796691866e-06,741,0.2835371494293213
6,3.062072641446534e-06,812,0.3225367069244385
7,2.941137370093827e-06,821,0.3290400505065918
8,2.830797602992874e-06,865,0.3655426502227783
9,2.7522977908978064e-06,911,0.4000663757324219
10,2.672808836590157e-06,869,0.4155857563018799
11,2.6151382491734765e-06,921,0.4470531940460205
12,2.562005950390578e-06,989,0.49723386764526367
13,2.5123580514874178e-06,952,0.5125517845153809
14,2.467166494990458e-06,919,0.5265610218048096
15,2.4313907516226863e-06,945,0.55206298828125
16,2.4001162685083344e-06,892,0.5670742988586426
17,2.3676904093994366e-06,848,0.5715522766113281
18,2.3330103651186818e-06,955,0.6425693035125732
19,2.2917591361304446e-06,884,0.6311101913452148
20,2.238505532825563e-06,895,0.6521596908569336
21,2.220867005409133e-06,920,0.683586835861206
22,2.216068265892268e-06,875,0.6995859146118164
23,2.140081077350864e-06,926,0.733161211013794
24,2.138788341987663e-06,870,0.750579833984375
25,2.1039669851896647e-06,898,0.7640399932861328
26,2.078911371716785e-06,873,0.7731258869171143
27,2.0668819510349934e-06,839,0.7981503009796143
28,2.044874265139107e-06,845,0.8006699085235596
29,2.010720219325357e-06,863,0.824866533279419
30,1.9818873807642134e-06,854,0.8539164066314697
31,1.9716946565440097e-06,802,0.8417396545410156
32,1.9365034679141857e-06,772,0.8635945320129395
33,1.9481094859497006e-06,811,0.9075853824615479
34,1.899607591004937e-06,818,0.9375832080841064
35,1.8936135691705047e-06,802,0.9610958099365234
36,1.877138535832934e-06,816,0.9645869731903076
37,1.8602306451898087e-06,798,0.9740941524505615
38,1.8352307855629135e-06,747,0.9721863269805908
39,1.8294115644579279e-06,786,1.016172170639038
40,1.805302909052564e-06,749,1.0399508476257324
41,1.774990545433397e-06,717,1.0403037071228027
42,1.7759995982746801e-06,705,1.0621166229248047
43,1.7488168828627693e-06,710,1.0986087322235107
44,1.7179555408253222e-06,725,1.130112648010254
45,1.7359186770260493e-06,725,1.1365971565246582
46,1.7240571218435363e-06,714,1.1378967761993408
47,1.6989905563535856e-06,705,1.1486189365386963
48,1.7040919141342314e-06,722,1.1551916599273682
49,1.6824489034172885e-06,739,1.1897151470184326
50,1.662858998829897e-06,642,1.1320996284484863
