K,MSE,ITERATIONS,EXECUTION TIME
2,333.39534566091146,1326,1.020334005355835
3,323.41339469115985,1081,0.4811718463897705
4,314.3711819410422,953,0.4158296585083008
5,307.82393495647557,763,0.33559560775756836
6,302.8380111279529,549,0.2987396717071533
7,299.3768403932749,514,0.3009982109069824
8,297.2833674707783,471,0.28766894340515137
9,295.2837450527279,480,0.2996833324432373
10,293.36365926628395,474,0.3199307918548584
11,291.4616752864392,451,0.3100292682647705
12,289.68750085889883,447,0.32706379890441895
13,287.9256268100037,445,0.3429102897644043
14,286.1575121539379,430,0.35019421577453613
15,284.47698587563264,421,0.35007619857788086
16,282.80705817080184,419,0.3642096519470215
17,281.22299068876293,417,0.3664233684539795
18,279.6590409367483,415,0.38077855110168457
19,278.1239753638392,411,0.3884556293487549
20,276.6235152594079,409,0.39336204528808594
21,275.1610335558372,407,0.4003751277923584
22,273.7132919690342,405,0.4200575351715088
23,272.269524326718,404,0.430126428604126
24,270.83637921983916,403,0.42995119094848633
25,269.4122049422557,397,0.44978857040405273
26,268.02025268896585,396,0.44623398780822754
27,266.7088001740136,390,0.45209670066833496
28,265.4454470486115,388,0.47174930572509766
29,264.3778982250897,386,0.47506046295166016
30,263.3154348628724,382,0.48301029205322266
31,262.2658654792169,381,0.5020763874053955
32,261.2242391316455,380,0.5062179565429688
33,260.1968883569924,377,0.5101332664489746
34,259.1691402922953,376,0.5021133422851562
35,258.14106745354036,375,0.517845630645752
36,257.1130334655497,375,0.5198285579681396
37,256.0842583526254,374,0.530226469039917
38,255.05526192043845,373,0.5498340129852295
39,254.0269432941577,372,0.559058666229248
40,252.99534697392195,371,0.5661346912384033
41,251.97037360832584,370,0.56974196434021
42,250.95199760325335,368,0.5817346572875977
43,249.9352876824444,367,0.6025433540344238
44,248.91779587604321,365,0.5795283317565918
45,247.9002292854447,364,0.6064920425415039
46,246.8795062040764,363,0.6098172664642334
47,245.86119401523646,362,0.6248478889465332
48,244.8516542761999,361,0.625288724899292
49,243.84211998616752,360,0.633476734161377
50,242.83340703638885,359,0.6599123477935791
