K,MSE,ITERATIONS,EXECUTION TIME
2,5.4884576445868305e-06,438,0.2200303077697754
3,3.966768122976028e-06,573,0.2010359764099121
4,3.5083272974523183e-06,712,0.22152948379516602
5,3.2308717796691866e-06,683,0.2080223560333252
6,3.062072641446534e-06,690,0.22202253341674805
7,2.9410549576835976e-06,659,0.21402359008789062
8,2.824594964145888e-06,575,0.19402337074279785
9,2.746600751390993e-06,476,0.17302966117858887
10,2.668969349417516e-06,415,0.15750980377197266
11,2.617804449767114e-06,376,0.15302252769470215
12,2.5665788540019108e-06,377,0.16451692581176758
13,2.5153777689634893e-06,324,0.15102171897888184
14,2.466859738814442e-06,337,0.15702223777770996
15,2.4194996183224404e-06,270,0.14251279830932617
16,2.371266539680228e-06,292,0.15302371978759766
17,2.329270673229189e-06,276,0.16351723670959473
18,2.2898408287286287e-06,256,0.1470177173614502
19,2.2490092114191285e-06,248,0.1545102596282959
20,2.2109858480723332e-06,260,0.16102123260498047
21,2.17319793549553e-06,251,0.16051673889160156
22,2.138568040876976e-06,234,0.15501856803894043
23,2.1065560212862877e-06,227,0.16002368927001953
24,2.0701867542438634e-06,189,0.15051984786987305
25,2.038924249214702e-06,226,0.17303109169006348
26,2.008659978014471e-06,211,0.166534423828125
27,1.9801947822584154e-06,197,0.1650395393371582
28,1.954455290609225e-06,194,0.1660442352294922
29,1.9300374166641987e-06,167,0.15552902221679688
30,1.9068037685476824e-06,156,0.1540393829345703
31,1.8839901883005439e-06,165,0.1615750789642334
32,1.8620499192545381e-06,169,0.16451025009155273
33,1.8395608590848767e-06,141,0.1527690887451172
34,1.8167538129443273e-06,133,0.15350890159606934
35,1.7951354867040692e-06,150,0.17003798484802246
36,1.7745217527620483e-06,158,0.1750471591949463
37,1.7564364114264208e-06,137,0.1635267734527588
38,1.737451283623237e-06,146,0.17302536964416504
39,1.7190502599184754e-06,143,0.17504286766052246
40,1.7004991639257838e-06,128,0.16902375221252441
41,1.683678904962349e-06,136,0.17450571060180664
42,1.6673900885555426e-06,133,0.17467164993286133
43,1.6522100656501948e-06,122,0.17562603950500488
44,1.6352622483895018e-06,142,0.1910417079925537
45,1.6197235108705854e-06,127,0.18604207038879395
46,1.6046657471679993e-06,124,0.18352699279785156
47,1.5915556544898735e-06,121,0.18703770637512207
48,1.5781812398030226e-06,119,0.18501687049865723
49,1.5646378218603374e-06,129,0.19302129745483398
50,1.5515178820590947e-06,132,0.19925665855407715
