K,MSE,ITERATIONS,EXECUTION TIME
2,5.4884576445868305e-06,475,0.2609701156616211
3,3.966768122976028e-06,592,0.23402643203735352
4,3.5083272974523183e-06,677,0.23853850364685059
5,3.2308717796691866e-06,771,0.2600255012512207
6,3.062072641446534e-06,656,0.231536865234375
7,2.9410549576835976e-06,625,0.2360246181488037
8,2.823348031366635e-06,574,0.22002506256103516
9,2.744556969136447e-06,447,0.18796038627624512
10,2.667367785536001e-06,419,0.19202852249145508
11,2.6156012867817324e-06,334,0.16902470588684082
12,2.5670366198271566e-06,317,0.17051196098327637
13,2.519737412720602e-06,327,0.17802166938781738
14,2.4642002469654756e-06,321,0.18102526664733887
15,2.4207527998809653e-06,263,0.16302728652954102
16,2.377463445779604e-06,301,0.18351387977600098
17,2.332355580225709e-06,248,0.16284775733947754
18,2.2929257357251487e-06,254,0.17504239082336426
19,2.2538715980235935e-06,224,0.1671433448791504
20,2.219212074772159e-06,224,0.17100954055786133
21,2.1845594869729368e-06,242,0.1826307773590088
22,2.150094764230559e-06,206,0.16866111755371094
23,2.118082744639871e-06,222,0.18103599548339844
24,2.0863624869971176e-06,178,0.1635301113128662
25,2.0558423652339286e-06,187,0.1700439453125
26,2.024599444760966e-06,183,0.17704081535339355
27,1.99483023910485e-06,199,0.18352866172790527
28,1.9689592213323337e-06,191,0.18703532218933105
29,1.9443721852585583e-06,180,0.1809377670288086
30,1.91563113605131e-06,176,0.18506240844726562
31,1.8912091205303128e-06,185,0.1890411376953125
32,1.8686734455375387e-06,187,0.196028470993042
33,1.8457944881422605e-06,179,0.19209718704223633
34,1.826363487333893e-06,163,0.18987178802490234
35,1.8037662034009472e-06,177,0.2060551643371582
36,1.7848144177046166e-06,157,0.19702410697937012
37,1.7662549153252272e-06,144,0.1875901222229004
38,1.7455408816147155e-06,163,0.20502662658691406
39,1.726142672575648e-06,144,0.1940157413482666
40,1.7080189171903015e-06,138,0.19674444198608398
41,1.691730100783495e-06,146,0.20303654670715332
42,1.676014036444684e-06,140,0.20404505729675293
43,1.6594118066315389e-06,139,0.20404744148254395
44,1.6436040964906695e-06,151,0.2130441665649414
45,1.6283661699034724e-06,132,0.2070446014404297
46,1.613461472205202e-06,133,0.2110462188720703
47,1.6004561489424418e-06,135,0.21105599403381348
48,1.5849260810441024e-06,143,0.22304797172546387
49,1.5719907051625626e-06,139,0.22254562377929688
50,1.5587672212991066e-06,129,0.21604633331298828
