K,MSE,ITERATIONS,EXECUTION TIME
2,41.89636377886703,339,0.42596983909606934
3,31.02010809514615,496,0.6063761711120605
4,27.56311361228908,668,0.7642877101898193
5,25.48563362496572,660,0.8744454383850098
6,24.220617433755983,690,1.01047682762146
7,23.27929390794609,732,1.137735366821289
8,22.43233909433051,851,1.322450876235962
9,21.803766737078192,848,1.404193639755249
10,21.206558432439504,904,1.5724034309387207
11,20.859010862489114,859,1.6755039691925049
12,20.347227724874088,838,1.8070886135101318
13,19.961929809857875,936,1.9877862930297852
14,19.812016553644305,860,2.0920305252075195
15,19.322422357600026,883,2.2272379398345947
16,19.043858963823652,905,2.3944108486175537
17,18.57297451039423,865,2.4915711879730225
18,18.47057226793453,842,2.633620500564575
19,18.222625847680902,879,2.7764945030212402
20,17.907375708939853,894,2.8758232593536377
21,17.816042357857818,849,3.039111852645874
22,17.49895745320752,834,3.1723296642303467
23,17.306778663863867,856,3.321794033050537
24,17.10167993279363,807,3.444847822189331
25,16.840925336393717,775,3.578808069229126
26,16.474249446395348,787,3.7199201583862305
27,16.542084452804538,809,3.9427123069763184
28,16.059552476421416,776,4.117326259613037
29,16.05611187615515,803,4.279004096984863
30,15.811720839934928,797,4.444977283477783
31,15.720925685623834,759,4.715925216674805
32,15.605900703413752,756,4.982701063156128
33,15.458168980872493,787,5.433021068572998
34,15.248491053177274,751,5.238738298416138
35,15.142478211119354,772,5.602672815322876
36,14.994836563448596,750,5.722564458847046
37,14.676864781205762,718,5.600605010986328
38,14.52249698078939,765,5.923352241516113
39,14.421772828287569,741,6.0510663986206055
40,14.368498807741176,705,6.244964361190796
41,14.327862617975331,736,6.699820041656494
42,14.10969040623185,686,6.28462028503418
43,14.030506669502376,697,6.2814764976501465
44,13.835233188859922,664,6.4101481437683105
45,13.7675065621451,712,6.5628578662872314
46,13.718341596056256,660,6.6976025104522705
47,13.400277426849907,675,6.703189134597778
48,13.326229774775687,676,6.91644811630249
49,13.241676067407704,636,7.051439046859741
50,13.139356914448797,664,7.250603675842285
