K,MSE,ITERATIONS,EXECUTION TIME
2,333.39534566091146,334,0.2864840030670166
3,323.41339469115985,247,0.13296747207641602
4,314.3736732786739,216,0.12708568572998047
5,307.966712325116,141,0.09504365921020508
6,303.0206895246124,158,0.10482120513916016
7,299.2370463413798,134,0.10006237030029297
8,297.56503192957405,118,0.09507226943969727
9,295.7890909687619,120,0.0998988151550293
10,293.8684919111304,118,0.09991955757141113
11,292.27658558481664,110,0.0997915267944336
12,289.9366544625939,121,0.10526800155639648
13,288.1582854383263,115,0.10991525650024414
14,286.17280213726326,112,0.11170601844787598
15,284.5606527947287,114,0.10826539993286133
16,283.0254257917931,115,0.11978483200073242
17,281.12959535590267,121,0.12378120422363281
18,279.67196695354346,110,0.11659979820251465
19,278.1486468027931,113,0.12008023262023926
20,276.69464648764017,113,0.13488101959228516
21,275.18810156760424,102,0.12770533561706543
22,273.74029425745243,111,0.1273975372314453
23,272.3089671093991,109,0.14003992080688477
24,270.9170148561092,111,0.13263297080993652
25,269.47105362961054,105,0.15707659721374512
26,268.2077005042085,105,0.14368891716003418
27,266.76351452568576,107,0.15007257461547852
28,265.70105116346843,105,0.14910459518432617
29,264.37043790997643,102,0.15093612670898438
30,263.3436610478097,101,0.14905333518981934
31,262.2832888646278,107,0.1621723175048828
32,261.2568420470517,102,0.1558091640472412
33,260.24451178728583,102,0.15934157371520996
34,259.2175771312893,101,0.15610647201538086
35,258.18973029649214,102,0.15861797332763672
36,257.15997113023843,101,0.15909743309020996
37,256.05358648233494,101,0.1670229434967041
38,255.02361094223556,103,0.16897034645080566
39,254.0084575893378,101,0.16999197006225586
40,252.9798134436627,102,0.17650794982910156
41,251.96119916154345,100,0.17359590530395508
42,250.93387693552256,100,0.1800398826599121
43,249.9282535134958,104,0.18068909645080566
44,248.91094756933,102,0.1785588264465332
45,247.8904574184112,101,0.18653464317321777
46,246.855952237108,106,0.19030284881591797
47,245.84947639266585,102,0.18987441062927246
48,244.83046808601003,101,0.18987345695495605
49,243.8183457489966,102,0.19302940368652344
50,242.80827625086238,102,0.199845552444458
