K,MSE,ITERATIONS,EXECUTION TIME
2,333.40458963513566,461,0.18477678298950195
3,323.3650916439933,638,0.24831438064575195
4,314.28320454055483,646,0.2330319881439209
5,307.89335287818335,857,0.3155205249786377
6,303.3529763513552,860,0.3244950771331787
7,300.39728882215616,861,0.3436300754547119
8,296.9858641796303,844,0.3501296043395996
9,294.4359998099333,831,0.36389970779418945
10,291.4097141082925,836,0.4001312255859375
11,288.19588083868166,810,0.39992380142211914
12,287.2452461383213,767,0.41672372817993164
13,283.8793113044038,734,0.43344736099243164
14,282.9419216361497,762,0.44980835914611816
15,281.82638265574735,718,0.46664881706237793
16,278.6875622784993,738,0.4834139347076416
17,276.5057817902556,749,0.5167169570922852
18,275.58040343604404,701,0.5166788101196289
19,273.7727104346418,683,0.5339803695678711
20,272.6221169365904,638,0.5325660705566406
21,270.030822406994,671,0.568936824798584
22,268.34428087686416,635,0.5977621078491211
23,267.1811677045416,633,0.5990872383117676
24,266.32915972339407,637,0.600893497467041
25,264.7593281857354,670,0.650005578994751
26,262.0669758304112,616,0.6500375270843506
27,262.2395510039811,581,0.6499192714691162
28,259.587283899179,589,0.6667904853820801
29,257.20305854074,560,0.6832263469696045
30,257.20734256514186,550,0.7000057697296143
31,256.52384782636767,578,0.749222993850708
32,252.8789591109143,527,0.7342929840087891
33,252.95355905753541,522,0.7495925426483154
34,250.95893822696735,525,0.7666635513305664
35,250.77592749438884,532,0.7679197788238525
36,246.29151834281322,499,0.7985880374908447
37,247.75709039160864,496,0.800372838973999
38,244.87246476914862,500,0.8904893398284912
39,245.49106651100172,513,0.9388294219970703
40,243.2371595403003,487,0.8704268932342529
41,242.35861160363967,445,1.033498764038086
42,241.76446295703136,499,0.933823823928833
43,239.60800546505072,441,0.9044346809387207
44,237.9151084120549,438,0.9069557189941406
45,236.8512970621246,442,0.9078783988952637
46,235.70955060040376,429,0.9344162940979004
47,235.5030024713356,433,0.9770536422729492
48,233.34141235482343,440,0.995326042175293
49,232.79634417824386,448,1.0573399066925049
50,230.69312527746933,426,0.997307538986206
