K,MSE,ITERATIONS,EXECUTION TIME
2,21.72351245504357,1026,0.29937124252319336
3,17.535759459051175,964,0.24493980407714844
4,13.913875324468918,1257,0.3006019592285156
5,11.74096662673413,1356,0.33913326263427734
6,10.261960159127213,1138,0.29502010345458984
7,9.476417722351853,690,0.20009255409240723
8,8.723391262493937,858,0.2499394416809082
9,8.109267475968682,798,0.24988555908203125
10,7.529417934280759,721,0.23150086402893066
11,6.999651285802777,725,0.2502427101135254
12,6.592759486577391,709,0.2587289810180664
13,6.2417572764995315,672,0.25491881370544434
14,5.89411377311656,645,0.24483609199523926
15,5.564286486040184,671,0.27037549018859863
16,5.2610054998020575,484,0.20998096466064453
17,5.0293917771406065,473,0.2195427417755127
18,4.803115472344045,440,0.22520065307617188
19,4.591993850042664,481,0.2449655532836914
20,4.414091087821101,479,0.24634599685668945
21,4.252486022772808,471,0.2501225471496582
22,4.105229472433048,408,0.22971558570861816
23,3.9612921469331694,435,0.2550649642944336
24,3.817914577355166,440,0.26015543937683105
25,3.690754364231452,392,0.24507403373718262
26,3.571870116739408,372,0.24473047256469727
27,3.456144168101134,365,0.24000263214111328
28,3.348837037052804,318,0.22545456886291504
29,3.228354015405526,323,0.2325913906097412
30,3.1320673687226135,337,0.24216675758361816
31,3.0432707220697006,299,0.22971296310424805
32,2.9560397108133465,330,0.2550618648529053
33,2.878213605704583,303,0.24050188064575195
34,2.8025524672179536,272,0.23244333267211914
35,2.733864553971123,283,0.2573385238647461
36,2.659334724406321,295,0.2648129463195801
37,2.596776416397764,271,0.25018906593322754
38,2.5360138588519123,256,0.23990821838378906
39,2.4750261226851458,270,0.2649881839752197
40,2.415276729942047,233,0.2603299617767334
41,2.3584846924846663,267,0.26443934440612793
42,2.3055984110795245,232,0.2552225589752197
43,2.2532646506975946,237,0.25943470001220703
44,2.2006195600611833,252,0.2674553394317627
45,2.148870421308471,247,0.2681288719177246
46,2.100947123714589,249,0.27012062072753906
47,2.0541826992905006,231,0.29510974884033203
48,2.008392636850834,246,0.30460429191589355
49,1.9632594090332602,212,0.2613964080810547
50,1.919166577327848,229,0.2677474021911621
