K,MSE,ITERATIONS,EXECUTION TIME
2,21.72351245504357,1054,0.3196444511413574
3,17.535759459051175,1035,0.28439807891845703
4,13.913875324468918,1275,0.3319098949432373
5,11.74096662673413,1395,0.3682880401611328
6,10.261515727771489,1073,0.3155782222747803
7,9.471487711411838,752,0.23615002632141113
8,8.724138036560014,809,0.271930456161499
9,8.109267475968682,779,0.26622772216796875
10,7.529417934280759,752,0.2586815357208252
11,6.999651285802777,798,0.2833385467529297
12,6.60031177719491,742,0.2834460735321045
13,6.2402076813002285,695,0.2825489044189453
14,5.892564177917257,610,0.2522594928741455
15,5.56379769140141,685,0.3076443672180176
16,5.260516705163283,481,0.23653459548950195
17,5.007631964911655,500,0.24691534042358398
18,4.781355660115094,433,0.23134326934814453
19,4.570234037813712,475,0.2590444087982178
20,4.392331275592149,461,0.24927186965942383
21,4.221184965780246,439,0.2529630661010742
22,4.065564946602754,412,0.24854111671447754
23,3.926114984828781,402,0.2517714500427246
24,3.7957961631285793,379,0.2316601276397705
25,3.6732112394653296,386,0.26546430587768555
26,3.561538973869943,371,0.259157657623291
27,3.4518555064574232,394,0.2726595401763916
28,3.345623639092677,340,0.25247859954833984
29,3.246742255258627,352,0.2667055130004883
30,3.1513964018661533,333,0.255784273147583
31,3.0561440453335607,342,0.2652616500854492
32,2.968987085605377,330,0.26856565475463867
33,2.886639277782942,353,0.29017066955566406
34,2.8098316245988575,319,0.2742149829864502
35,2.727726592172625,316,0.2695627212524414
36,2.6562287344173283,265,0.2653820514678955
37,2.5903198458843915,268,0.2651667594909668
38,2.5248093077724993,245,0.25538182258605957
39,2.459883383587677,243,0.2513902187347412
40,2.3980768386291604,245,0.2650136947631836
41,2.3373142810833087,243,0.26282644271850586
42,2.278577438647607,257,0.275864839553833
43,2.2214921426846526,224,0.2608046531677246
44,2.1691583823027227,243,0.28052759170532227
45,2.1250655505973106,227,0.26834821701049805
46,2.0779980920860837,241,0.2806985378265381
47,2.032229106913417,235,0.28488898277282715
48,1.9883978631521182,228,0.2839803695678711
49,1.947033340156055,222,0.2826547622680664
50,1.9090887246169397,210,0.26646995544433594
