K,MSE,ITERATIONS,EXECUTION TIME
2,21.72351245504357,765,0.4099128246307373
3,17.535759459051175,1003,0.5687375068664551
4,13.913875324468918,1131,0.7185711860656738
5,11.743528630481745,1226,0.8314118385314941
6,10.25976861941885,1306,0.9830985069274902
7,9.462784434296784,1273,1.118546724319458
8,8.724708802860937,1235,1.1984589099884033
9,8.136604602369097,1221,1.2836205959320068
10,7.541336373078478,1257,1.4175300598144531
11,7.02902562952357,1308,1.5999364852905273
12,6.606342482181358,1259,1.7008817195892334
13,6.265123896737714,1269,1.8647308349609375
14,5.883911594245273,1297,2.0680596828460693
15,5.558669253203883,1310,2.2821691036224365
16,5.290414191349004,1278,2.216830015182495
17,5.077946679902231,1219,2.543328046798706
18,4.910085972553805,1201,2.5404350757598877
19,4.622085076824078,1142,2.5327975749969482
20,4.492175617377341,1146,2.850334405899048
21,4.334134966233263,1182,3.0516715049743652
22,4.167654475953342,1102,3.0791549682617188
23,4.041478538977982,1060,3.1180202960968018
24,3.881853906639555,1106,3.233802318572998
25,3.8401760349051655,1052,3.3426401615142822
26,3.6277648124176816,1034,3.4453699588775635
27,3.512839336513899,995,3.5018460750579834
28,3.4566839679393313,949,3.6755340099334717
29,3.371935331248362,1025,3.7426512241363525
30,3.269242161504992,991,3.81482195854187
31,3.1823465033639886,959,4.0842063426971436
32,3.1249850005153768,961,4.069215297698975
33,3.0021053293362967,929,4.264566421508789
34,2.9518740018395904,895,4.348015308380127
35,2.8862919329581156,911,4.435563325881958
36,2.8058802515539325,855,4.717149257659912
37,2.7650177925114274,942,5.063001394271851
38,2.6827826695435686,901,4.871277570724487
39,2.548078150793635,824,4.821057081222534
40,2.4981290048321525,879,4.955744504928589
41,2.4471548302344064,841,5.035153865814209
42,2.459708785750294,851,5.199896335601807
43,2.3720431191896507,842,5.3323283195495605
44,2.3743070097407717,869,5.451592445373535
45,2.2944107354646435,827,5.516153573989868
46,2.230227591956453,797,5.666881322860718
47,2.1955819715559137,835,5.799768686294556
48,2.20043938786013,798,6.007422685623169
49,2.1147977525774424,797,6.192901849746704
50,2.099251480323365,789,6.267319917678833
