K,MSE,ITERATIONS,EXECUTION TIME
2,181.59528722664848,599,0.20305681228637695
3,160.07386990282873,841,0.2224738597869873
4,152.96282584001784,954,0.23775291442871094
5,146.9439057477244,729,0.1905651092529297
6,141.0273695468538,554,0.1592097282409668
7,137.0268145267081,460,0.14643001556396484
8,133.06147756600117,492,0.15385079383850098
9,129.21311385602547,507,0.15990972518920898
10,126.55361799231753,360,0.1397099494934082
11,123.92641639537268,318,0.12514948844909668
12,121.57855751843593,298,0.1301262378692627
13,119.24702066303331,283,0.1250019073486328
14,116.97821167581618,286,0.14003634452819824
15,114.81551712597883,220,0.11965584754943848
16,113.01765084904488,215,0.11142253875732422
17,111.13105249100562,197,0.11843109130859375
18,109.55443148132716,199,0.12122464179992676
19,108.03630554442793,195,0.13031244277954102
20,106.6874383064592,171,0.12183117866516113
21,105.40681296341522,169,0.12175154685974121
22,104.1631687676711,177,0.12505245208740234
23,102.9603532702022,167,0.13035082817077637
24,101.8256616635981,155,0.12004351615905762
25,100.7998975182927,141,0.1294264793395996
26,99.84350658249937,152,0.13137292861938477
27,98.80659642663541,142,0.13193321228027344
28,97.8641643195356,147,0.1370677947998047
29,96.87363652777401,144,0.13373255729675293
30,95.93319762834491,132,0.13631629943847656
31,94.98606934817627,145,0.14974212646484375
32,94.0798733989061,135,0.1460437774658203
33,93.15282759260705,140,0.14787554740905762
34,92.15492382149783,140,0.15162014961242676
35,91.31965674864905,135,0.15057611465454102
36,90.35297305113056,129,0.15411782264709473
37,89.42054985436206,127,0.15469145774841309
38,88.59307443047402,132,0.15500593185424805
39,87.78483618889001,127,0.1713407039642334
40,86.98574221947166,122,0.16369104385375977
41,86.19050657367008,129,0.17015600204467773
42,85.38542800899677,129,0.1652977466583252
43,84.63125869323595,133,0.17988944053649902
44,83.86023975104072,128,0.16986751556396484
45,83.22735933932626,118,0.1698448657989502
46,82.48619112221512,125,0.18034100532531738
47,81.75680653755202,122,0.18211579322814941
48,81.02792560459928,117,0.177748441696167
49,80.37616942046296,121,0.18004727363586426
50,79.69532511246908,116,0.19071722030639648
