K,MSE,ITERATIONS,EXECUTION TIME
2,239.1987627545571,2344,0.7916147708892822
3,218.7797839006827,2874,0.7752602100372314
4,210.62839524466278,2763,0.7122056484222412
5,203.86750309038234,2148,0.5709781646728516
6,198.4815655652185,1758,0.5081205368041992
7,193.75088377989323,1558,0.4714236259460449
8,189.08765479743658,1453,0.45378589630126953
9,184.69641243372809,1073,0.37431931495666504
10,181.39814481863112,1010,0.3769402503967285
11,178.54933966862325,902,0.374086856842041
12,175.73140498424368,843,0.37035346031188965
13,173.0293594465445,767,0.3610391616821289
14,170.3520146384414,723,0.3742668628692627
15,167.92404256794183,684,0.3756415843963623
16,165.73222921141658,644,0.3717503547668457
17,163.66300457472448,617,0.375399112701416
18,161.61419191013326,612,0.39185094833374023
19,159.58200347632834,622,0.4055783748626709
20,157.62703085654476,572,0.39497995376586914
21,155.88180191862463,517,0.38175010681152344
22,154.30530060592878,513,0.3925330638885498
23,152.83777146790092,497,0.40911173820495605
24,151.4722703650325,466,0.3977479934692383
25,150.113622855863,457,0.4070403575897217
26,148.86548115894618,451,0.40256309509277344
27,147.62546856702986,443,0.4330308437347412
28,146.50802148332906,425,0.42565107345581055
29,145.4126252035478,422,0.43378567695617676
30,144.3267806780542,419,0.43953680992126465
31,143.23098708699797,409,0.44091224670410156
32,142.17057777271515,395,0.433056116104126
33,141.1384960545875,394,0.4424746036529541
34,140.11148704566656,390,0.45841526985168457
35,138.54359864178485,394,0.46776437759399414
36,137.00326953268782,390,0.46712708473205566
37,135.98124928100796,388,0.48198962211608887
38,134.96271918181947,387,0.4993705749511719
39,133.95541924071028,385,0.5186018943786621
40,132.96734285972641,384,0.5084726810455322
41,132.0316756524943,378,0.523099422454834
42,130.95516549878226,373,0.5254135131835938
43,130.0200162320688,371,0.5248751640319824
44,129.03492377533385,370,0.5372793674468994
45,128.1129005516825,369,0.5392630100250244
46,127.21659311967919,366,0.5483748912811279
47,126.09124986445086,366,0.561847448348999
48,125.09710773382693,367,0.5656094551086426
49,124.09925234546738,367,0.5711696147918701
50,123.21298816122362,365,0.5747840404510498
