K,MSE,ITERATIONS,EXECUTION TIME
2,239.1987627545571,548,0.3636188507080078
3,218.7154589542394,724,0.4955170154571533
4,210.5888301770507,890,0.6268255710601807
5,203.88684435036532,985,0.762946605682373
6,198.46277926376195,974,0.8713057041168213
7,193.97533195259916,1012,0.9746298789978027
8,189.97752038217752,1044,1.1064987182617188
9,186.17485425305938,955,1.1881866455078125
10,182.17916649163402,1021,1.3281745910644531
11,179.18531775177564,930,1.4605679512023926
12,176.40670377638043,1003,1.6069309711456299
13,174.53687249630497,966,1.7157490253448486
14,171.64522966706414,883,1.7765884399414062
15,169.9670542230329,865,1.942129373550415
16,167.87894856018906,845,2.0415897369384766
17,165.16993870108394,814,2.1572699546813965
18,163.3542102264646,826,2.2796804904937744
19,162.1415229325356,829,2.401293992996216
20,159.03702029915394,814,2.509382724761963
21,158.33675463283083,737,2.607872247695923
22,156.61651799428415,768,2.7590529918670654
23,154.6256731139863,744,2.861637830734253
24,153.81068043655472,742,2.9676966667175293
25,151.84913363919748,695,3.0999104976654053
26,151.3254847919926,702,3.1750340461730957
27,149.67574843074547,706,3.300286293029785
28,148.483793694338,671,3.41695237159729
29,147.0140767805571,662,3.5160372257232666
30,145.88775487926597,614,3.633479595184326
31,144.85328635463316,670,3.6998848915100098
32,142.85089010736843,637,3.9093518257141113
33,142.36787727444118,625,4.009341239929199
34,141.33430096519606,576,4.109346389770508
35,139.83779859997048,544,4.206908226013184
36,137.4264934983246,570,4.33346700668335
37,137.6835279119066,548,4.430217027664185
38,135.982661853009,561,4.530197381973267
39,134.2273417074839,513,4.64699912071228
40,133.9991421240406,536,4.757715463638306
41,133.29223746714223,520,4.918115615844727
42,132.59264873590018,513,4.999846458435059
43,130.5953302677245,514,5.139847993850708
44,129.948467420707,501,5.236323356628418
45,129.34347136106277,533,5.35567831993103
46,128.36627507974077,506,5.458858251571655
47,126.396025579335,499,5.574599504470825
48,124.23539762222626,496,5.69152307510376
49,125.19428928619553,462,5.799948215484619
50,125.04421647500331,476,5.948873519897461
