K,MSE,ITERATIONS,EXECUTION TIME
2,1.7158347900170234e-05,506,0.18404150009155273
3,1.3941163081399033e-05,708,0.2020421028137207
4,1.2882799271252132e-05,998,0.2510392665863037
5,1.210660675154962e-05,1036,0.27322888374328613
6,1.1414107303320264e-05,780,0.21404194831848145
7,1.0959871168947366e-05,584,0.17504286766052246
8,1.0546183080606397e-05,676,0.20604515075683594
9,1.017617055987241e-05,626,0.2020421028137207
10,9.881949683876456e-06,486,0.17102313041687012
11,9.614042064232109e-06,497,0.18251466751098633
12,9.370162464938936e-06,510,0.19302821159362793
13,9.133894496970996e-06,416,0.1750199794769287
14,8.91530537250329e-06,351,0.15802502632141113
15,8.7280551103186e-06,341,0.16351675987243652
16,8.554902099278117e-06,297,0.14602231979370117
17,8.386053448550257e-06,319,0.16151666641235352
18,8.244318807082429e-06,251,0.14202213287353516
19,8.105604398345179e-06,269,0.1555163860321045
20,7.970917553556944e-06,271,0.1580209732055664
21,7.838352534372817e-06,260,0.1650257110595703
22,7.706343936653148e-06,263,0.16551661491394043
23,7.577734352004484e-06,246,0.16601991653442383
24,7.4570720992594985e-06,241,0.1670246124267578
25,7.3417958362798075e-06,221,0.16451239585876465
26,7.231390025230766e-06,213,0.16202616691589355
27,7.127921668015347e-06,195,0.16602468490600586
28,7.01602481567587e-06,203,0.16851186752319336
29,6.929222583273997e-06,199,0.17104482650756836
30,6.8267155037826655e-06,180,0.16202449798583984
31,6.739359754592833e-06,179,0.16951227188110352
32,6.6593585066332395e-06,159,0.1586167812347412
33,6.581104092573398e-06,149,0.16202378273010254
34,6.510104769708036e-06,161,0.16651248931884766
35,6.437007179727061e-06,147,0.1650247573852539
36,6.365064625701855e-06,150,0.17102503776550293
37,6.299160301814766e-06,158,0.18251681327819824
38,6.237037956324798e-06,137,0.16602015495300293
39,6.156558210679286e-06,156,0.18603777885437012
40,6.095482179113709e-06,142,0.1740407943725586
41,6.0310394930374045e-06,135,0.17552638053894043
42,5.970166629065687e-06,130,0.1730365753173828
43,5.9101659587446065e-06,144,0.18804550170898438
44,5.845469941756498e-06,137,0.1830453872680664
45,5.787814325031171e-06,125,0.1810314655303955
46,5.7217052825686565e-06,138,0.19004225730895996
47,5.665287514111661e-06,134,0.19204473495483398
48,5.6099918236407476e-06,129,0.1895310878753662
49,5.559553115985771e-06,134,0.19704365730285645
50,5.505207824607616e-06,125,0.19704127311706543
