K,MSE,ITERATIONS,EXECUTION TIME
2,1.7158347900170234e-05,426,0.36454319953918457
3,1.3941163081399033e-05,539,0.4705541133880615
4,1.2882799271252132e-05,811,0.6415743827819824
5,1.2106342402451453e-05,1067,0.8151025772094727
6,1.1412502113006262e-05,1056,0.9096100330352783
7,1.0964717516825928e-05,1155,1.0411176681518555
8,1.0558970085616792e-05,1171,1.1801605224609375
9,1.0246657107249035e-05,1162,1.30772066116333
10,9.891712142495734e-06,1105,1.4143667221069336
11,9.683471191679338e-06,1079,1.511878490447998
12,9.423395808783042e-06,1116,1.6997315883636475
13,9.195405738959828e-06,1007,1.7662217617034912
14,9.007754540713009e-06,1072,1.91373872756958
15,8.89179084162528e-06,1018,2.008255958557129
16,8.705975410028266e-06,1046,2.144261598587036
17,8.506936428620548e-06,1010,2.279794931411743
18,8.390528757562521e-06,946,2.3588316440582275
19,8.264495051757415e-06,950,2.5029916763305664
20,8.052515493961465e-06,870,2.6322152614593506
21,7.976222530348132e-06,887,2.73561429977417
22,7.878063530419865e-06,844,2.890312433242798
23,7.78630825415405e-06,875,2.9865546226501465
24,7.639663655356621e-06,835,3.1274218559265137
25,7.542447549191422e-06,850,3.219550848007202
26,7.43068214192899e-06,817,3.334476947784424
27,7.378236225874524e-06,822,3.452395439147949
28,7.204512242897643e-06,838,3.596217155456543
29,7.204401721971898e-06,764,3.662620782852173
30,7.0660988238380185e-06,732,3.7911086082458496
31,6.974857922226185e-06,730,3.9011597633361816
32,6.866295049201554e-06,750,4.078419208526611
33,6.871962268450993e-06,705,4.187746047973633
34,6.771033199348686e-06,716,4.255199193954468
35,6.6638385481931905e-06,718,4.38423228263855
36,6.621538184536924e-06,693,4.554856061935425
37,6.5263863733289185e-06,701,4.6810033321380615
38,6.469936605468796e-06,639,4.757067441940308
39,6.4078240142873e-06,665,4.8658857345581055
40,6.300406901083022e-06,667,4.9771857261657715
41,6.252357519831442e-06,637,5.1362526416778564
42,6.142403503051064e-06,637,5.431903839111328
43,6.218390614431968e-06,654,5.418619155883789
44,6.121139727643943e-06,604,5.578166246414185
45,6.009130451900546e-06,641,5.834024906158447
46,5.978697673048039e-06,597,5.862728595733643
47,5.942715556761513e-06,621,6.001037359237671
48,5.867898198452792e-06,604,6.078230142593384
49,5.793553992328171e-06,589,6.121997833251953
50,5.7818620340377436e-06,566,6.351482391357422
